Name,Week,FixtureIds,Points,MinutesPlayed,Goals,Assists,xGoals,xAssists,CleanSheets,GoalsConceded,xGoalsConceded,Saves,BonusPoints,BonusPointsRating
Fabio Vieira,2,12,0,0,0,0,0,0,0,0,0,0,0,0
Gabriel,2,12,1,20,0,0,0,0,0,0,0.73,0,0,5
Havertz,2,12,2,90,0,0,0.02,0.05,1,0,1.06,0,0,-1
G.Jesus,2,12,0,0,0,0,0,0,0,0,0,0,0,0
Jorginho,2,12,1,11,0,0,0,0.01,0,0,0.59,0,0,5
Kiwior,2,12,1,1,0,0,0,0,0,0,0.26,0,0,3
Martinelli,2,12,3,69,0,0,0.11,0.04,1,0,0.34,0,0,4
Nketiah,2,12,5,78,0,1,0.81,0.02,1,0,0.47,0,0,6
Odegaard,2,12,11,89,1,0,0.83,0.09,1,0,0.8,0,3,32
Thomas,2,12,3,90,0,0,0.07,0.05,1,0,1.06,0,0,21
Ramsdale,2,12,6,90,0,0,0,0.01,1,0,1.06,2,0,25
Saka,2,12,3,88,0,0,0.16,0.11,1,0,0.8,0,0,15
Saliba,2,12,8,90,0,0,0,0.01,1,0,1.06,0,2,29
Smith Rowe,2,12,0,0,0,0,0,0,0,0,0,0,0,0
Tavares,2,12,0,0,0,0,0,0,0,0,0,0,0,0
Tomiyasu,2,12,3,66,0,0,0,0.03,1,0,1.79,0,0,13
Trossard,2,12,0,0,0,0,0,0,0,0,0,0,0,0
Turner,2,17,2,90,0,0,0,0,0,1,0.51,2,0,13
White,2,12,7,90,0,0,0,0.02,1,0,1.06,0,1,26
Zinchenko,2,12,1,1,0,0,0,0,0,0,0.26,0,0,2
Archer,2,11,0,5,0,0,0,0,0,0,0,0,0,-1
Bailey,2,11,14,62,1,1,0.32,0.68,1,0,0.64,0,3,41
Cash,2,11,6,90,0,0,0,0.27,1,0,0.68,0,0,27
Coutinho,2,11,1,21,0,0,0.07,0.01,0,0,0.03,0,0,4
Diego Carlos,2,11,1,26,0,0,0,0,0,0,0.03,0,0,8
Digne,2,11,10,90,0,1,0.02,0.05,1,0,0.68,0,2,31
Douglas Luiz,2,11,7,63,1,0,0.79,0.1,1,0,0.64,0,0,30
Duran,2,11,7,16,1,0,0.55,0,0,0,0.03,0,2,31
Kamara,2,11,3,90,0,0,0.02,0.03,1,0,0.68,0,0,12
Konsa,2,11,6,90,0,0,0,0,1,0,0.68,0,0,29
Martinez,2,11,8,90,0,0,0,0,1,0,0.68,2,2,31
McGinn,2,11,10,90,1,0,0.86,0.09,1,0,0.68,0,2,31
Mings,2,11,0,0,0,0,0,0,0,0,0,0,0,0
Nakamba,2,,0,0,0,0,0,0,0,0,0,0,0,0
Olsen,2,11,0,0,0,0,0,0,0,0,0,0,0,0
Tielemans,2,11,1,27,0,0,0,0.01,0,0,0.03,0,0,9
Bertrand Traore,2,11,0,0,0,0,0,0,0,0,0,0,0,0
Watkins,2,11,5,73,0,1,0.15,0.05,1,0,0.64,0,0,11
Billing,2,14,2,90,0,0,0.41,0.07,0,3,3.08,0,0,5
Brooks,2,14,1,14,0,0,0,0.19,0,0,0.08,0,0,7
Christie,2,14,2,62,0,0,0,0,0,3,2.88,0,0,8
L.Cook,2,14,0,0,0,0,0,0,0,0,0,0,0,0
Kelly,2,14,1,14,0,0,0,0,0,0,0.08,0,0,3
Kluivert,2,14,1,27,0,0,0.22,0.01,0,0,0.2,0,0,2
Lowe,2,14,0,0,0,0,0,0,0,0,0,0,0,0
Mepham,2,14,0,0,0,0,0,0,0,0,0,0,0,0
Moore,2,14,1,27,0,0,0.23,0,0,0,0.2,0,0,-1
N.Neto,2,14,10,90,0,0,0,0,0,3,3.08,8,3,37
Rothwell,2,14,2,75,0,0,0,0.01,0,3,3,0,0,8
Semenyo,2,14,6,75,1,0,0.18,0.1,0,3,3,0,1,32
Senesi,2,14,1,83,0,0,0,0.06,0,3,3.08,0,0,18
Solanke,2,14,5,90,0,1,0.15,0.01,0,3,3.08,0,0,11
Tavernier,2,14,0,0,0,0,0,0,0,0,0,0,0,0
Hamed Traorè,2,14,1,6,0,0,0.15,0,0,0,0,0,0,7
Zabarnyi,2,14,1,90,0,0,0,0,0,3,3.08,0,0,17
Ajer,2,13,4,1,0,1,0.15,0.55,0,0,0.02,0,0,15
Collins,2,13,6,90,0,0,0.08,0.2,1,0,0.46,0,0,29
Damsgaard,2,13,1,11,0,0,0,0,0,0,0.09,0,0,0
Dasilva,2,13,1,9,0,0,0,0,0,0,0.07,0,0,3
Flekken,2,13,6,90,0,0,0,0,1,0,0.46,2,0,28
Henry,2,13,5,90,0,0,0,0.09,1,0,0.46,0,0,18
Hickey,2,13,5,77,0,0,0,0.01,1,0,0.36,0,0,15
Janelt,2,13,3,90,0,0,0,0.15,1,0,0.46,0,0,11
Jensen,2,13,3,90,0,0,0.07,0.68,1,0,0.46,0,0,25
Lewis-Potter,2,13,1,19,0,0,0.22,0.01,0,0,0.09,0,0,0
Mbeumo,2,13,16,90,2,0,1.79,0.24,1,0,0.46,0,3,43
Mee,2,13,0,0,0,0,0,0,0,0,0,0,0,0
Norgaard,2,13,3,78,0,0,0.02,0.02,1,0,0.36,0,0,11
Onyeka,2,13,0,0,0,0,0,0,0,0,0,0,0,0
Pinnock,2,13,7,90,0,0,0.04,0.22,1,0,0.46,0,1,32
Raya,2,12,0,0,0,0,0,0,0,0,0,0,0,0
Schade,2,13,3,70,0,0,0,0.05,1,0,0.36,0,0,2
Toney,2,13,0,0,0,0,0,0,0,0,0,0,0,0
Wissa,2,13,11,78,1,1,1.43,0.02,1,0,0.36,0,2,36
Adingra,2,20,0,0,0,0,0,0,0,0,0,0,0,0
Caicedo,2,19,1,29,0,0,0.03,0.03,0,1,0.95,0,0,1
Dahoud,2,20,1,9,0,0,0,0.02,0,0,0.18,0,0,4
Dunk,2,20,2,90,0,0,0,0,0,1,2.06,0,0,16
Enciso,2,20,7,66,0,2,0.2,0.58,0,1,1.77,0,0,28
Estupinan,2,20,11,90,1,1,0.25,0.05,0,1,2.06,0,1,33
Ferguson,2,20,1,23,0,0,0.09,0.01,0,0,0.29,0,0,-1
Gilmour,2,20,2,90,0,0,0,0.03,0,1,2.06,0,0,15
Gross,2,20,1,80,0,0,0,0.17,0,1,1.88,0,0,12
Joao Pedro,2,20,0,33,0,0,0.16,0.01,0,1,1.15,0,0,-1
Lallana,2,20,1,9,0,0,0,0.01,0,0,0.18,0,0,4
Lamptey,2,20,0,0,0,0,0,0,0,0,0,0,0,0
March,2,20,15,90,2,0,0.87,0.14,0,1,2.06,0,3,47
Milner,2,20,0,56,0,0,0,0.13,0,0,0.91,0,0,8
Mitoma,2,20,12,80,1,1,0.53,0.67,0,1,1.88,0,2,40
Sanchez,2,19,2,90,0,0,0,0,0,3,1.8,3,0,14
Steele,2,20,3,90,0,0,0,0,0,1,2.06,4,0,21
Van Hecke,2,20,0,0,0,0,0,0,0,0,0,0,0,0
Veltman,2,20,1,33,0,0,0,0,0,1,1.15,0,0,8
