Name,Week,FixtureIds,Points,MinutesPlayed,Goals,Assists,xGoals,xAssists,CleanSheets,GoalsConceded,xGoalsConceded,Saves,BonusPoints,BonusPointsRating
Fabio Vieira,28,271,0,0,0,0,0,0,0,0,0,0,0,0
Gabriel,28,271,1,90,0,0,0.28,0.03,0,1,0.97,0,0,12
Havertz,28,271,7,90,1,0,0.53,0.06,0,1,0.97,0,1,26
G.Jesus,28,271,1,20,0,0,0,0.01,0,0,0.44,0,0,-1
Jorginho,28,271,2,69,0,0,0,0.26,0,1,0.53,0,0,11
Kiwior,28,271,2,78,0,0,0,0.04,0,1,0.97,0,0,13
Martinelli,28,271,0,0,0,0,0,0,0,0,0,0,0,0
Nketiah,28,271,0,0,0,0,0,0,0,0,0,0,0,0
Odegaard,28,271,2,90,0,0,0.15,0.19,0,1,0.97,0,0,12
Thomas,28,271,1,1,0,0,0,0,0,0,0,0,0,3
Ramsdale,28,271,3,90,0,0,0,0,0,1,0.97,3,0,13
Saka,28,271,2,90,0,0,0.09,0.36,0,1,0.97,0,0,14
Saliba,28,271,2,90,0,0,0,0.01,0,1,0.97,0,0,10
Smith Rowe,28,271,0,0,0,0,0,0,0,0,0,0,0,0
Tavares,28,274,0,0,0,0,0,0,0,0,0,0,0,0
Tomiyasu,28,271,0,0,0,0,0,0,0,0,0,0,0,0
Trossard,28,271,2,78,0,0,0.17,0.22,0,1,0.97,0,0,12
Turner,28,274,0,0,0,0,0,0,0,0,0,0,0,0
White,28,271,11,90,0,2,0,0.26,0,1,0.97,0,3,37
Zinchenko,28,271,1,11,0,0,0,0.01,0,0,0,0,0,3
Archer,28,273,0,0,0,0,0,0,0,0,0,0,0,0
Bailey,28,272,2,68,0,0,0.05,0,0,2,0.95,0,0,4
Cash,28,272,0,90,0,0,0.29,0.03,0,4,1.63,0,0,3
Coutinho,28,272,0,0,0,0,0,0,0,0,0,0,0,0
Diego Carlos,28,272,0,5,0,0,0,0,0,2,0.49,0,0,3
Digne,28,272,0,57,0,0,0.02,0,0,2,0.95,0,0,6
Douglas Luiz,28,272,2,90,0,0,0,0.12,0,4,1.63,0,0,15
Duran,28,272,0,0,0,0,0,0,0,0,0,0,0,0
Kamara,28,272,0,0,0,0,0,0,0,0,0,0,0,0
Konsa,28,272,1,84,0,0,0.14,0.01,0,2,1.14,0,0,9
Martinez,28,272,0,90,0,0,0,0,0,4,1.63,1,0,13
McGinn,28,272,-1,64,0,0,0,0.14,0,4,2.3,0,0,2
Mings,28,272,0,0,0,0,0,0,0,0,0,0,0,0
Nakamba,28,276;162,0,0,0,0,0,0,0,0,0,0,0,0
Olsen,28,272,0,0,0,0,0,0,0,0,0,0,0,0
Tielemans,28,272,1,57,0,0,0.09,0,0,2,0.95,0,0,5
Bertrand Traore,28,272,0,0,0,0,0,0,0,0,0,0,0,0
Watkins,28,272,2,90,0,0,0.12,0.03,0,4,1.63,0,0,0
Billing,28,273;162,2,17,0,0,0.09,0.23,0,0,0,0,0,12
Brooks,28,273;162,0,0,0,0,0,0,0,0,0,0,0,0
Christie,28,273;162,12,163,0,2,0.54,0.49,0,5,3.37,0,2,57
L.Cook,28,273;162,4,180,0,0,0.05,0.35,0,5,3.37,0,0,36
Kelly,28,273;162,0,0,0,0,0,0,0,0,0,0,0,0
Kluivert,28,273;162,2,61,0,0,0.15,0.02,0,1,1.48,0,0,1
Lowe,28,273;162,0,0,0,0,0,0,0,0,0,0,0,0
Mepham,28,273;162,4,180,0,1,0,0.13,0,5,3.37,0,0,39
Moore,28,273;162,0,0,0,0,0,0,0,0,0,0,0,0
N.Neto,28,273;162,4,180,0,0,0,0,0,5,3.37,8,0,35
Rothwell,28,273;162,0,0,0,0,0,0,0,0,0,0,0,0
Semenyo,28,273;162,15,180,2,0,0.98,0.17,0,5,3.37,0,3,62
Senesi,28,273;162,0,0,0,0,0,0,0,0,0,0,0,0
Solanke,28,273;162,8,180,1,0,1.33,0.2,0,5,3.37,0,2,26
Tavernier,28,273;162,3,106,0,0,0.03,0.36,0,1,1.78,0,0,26
Hamed Traorè,28,273;162,0,0,0,0,0,0,0,0,0,0,0,0
Zabarnyi,28,273;162,8,180,1,0,0.65,0.08,0,5,3.37,0,0,35
