Gameweek,Home,Away,HomeScored,AwayScored
1,Burnley,ManCity,0,3
1,Arsenal,NottmForest,2,1
1,Bournemouth,WestHam,1,1
1,Brighton,Luton,4,1
1,Everton,Fulham,0,1
1,SheffieldUtd,CrystalPalace,0,1
1,Newcastle,AstonVilla,5,1
1,Brentford,Spurs,2,2
1,Chelsea,Liverpool,1,1
1,ManUtd,Wolves,1,0
2,NottmForest,SheffieldUtd,2,1
2,Fulham,Brentford,0,3
2,Liverpool,Bournemouth,3,1
2,Wolves,Brighton,1,4
2,Spurs,ManUtd,2,0
2,ManCity,Newcastle,1,0
2,AstonVilla,Everton,4,0
2,WestHam,Chelsea,3,1
2,CrystalPalace,Arsenal,0,1
3,Chelsea,Luton,3,0
3,Bournemouth,Spurs,0,2
3,Arsenal,Fulham,2,2
3,Brentford,CrystalPalace,1,1
3,Everton,Wolves,0,1
3,ManUtd,NottmForest,3,2
3,Brighton,WestHam,1,3
3,Burnley,AstonVilla,1,3
3,SheffieldUtd,ManCity,1,2
3,Newcastle,Liverpool,1,2
4,Luton,WestHam,1,2
4,SheffieldUtd,Everton,2,2
4,Brentford,Bournemouth,2,2
4,Burnley,Spurs,2,5
4,Chelsea,NottmForest,0,1
4,ManCity,Fulham,5,1
4,Brighton,Newcastle,3,1
4,CrystalPalace,Wolves,3,2
4,Liverpool,AstonVilla,3,0
4,Arsenal,ManUtd,3,1
5,Wolves,Liverpool,1,3
5,AstonVilla,CrystalPalace,3,1
5,Fulham,Luton,1,0
5,ManUtd,Brighton,1,3
5,Spurs,SheffieldUtd,2,1
5,WestHam,ManCity,1,3
5,Newcastle,Brentford,1,0
5,Bournemouth,Chelsea,0,0
5,Everton,Arsenal,0,1
5,NottmForest,Burnley,1,1
6,CrystalPalace,Fulham,0,0
6,Luton,Wolves,1,1
6,ManCity,NottmForest,2,0
6,Brentford,Everton,1,3
6,Burnley,ManUtd,0,1
6,Arsenal,Spurs,2,2
6,Brighton,Bournemouth,3,1
6,Chelsea,AstonVilla,0,1
6,Liverpool,WestHam,3,1
6,SheffieldUtd,Newcastle,0,8
7,AstonVilla,Brighton,6,1
7,Bournemouth,Arsenal,0,4
7,Everton,Luton,1,2
7,ManUtd,CrystalPalace,0,1
7,Newcastle,Burnley,2,0
7,WestHam,SheffieldUtd,2,0
7,Wolves,ManCity,2,1
7,Spurs,Liverpool,2,1
