Name,Week,Points,MinutesPlayed,Goals,Assists,xGoals,xAssists,CleanSheets,GoalsConceded,xGoalsConceded,Saves,BonusPoints,BonusPointsRating
Fabio Vieira,5,3,79,0,0,0.37,0.06,1,0,0.2,0,0,6
Gabriel,5,5,90,0,0,0,0.02,1,0,0.3,0,0,23
Havertz,5,1,10,0,0,0,0,0,0,0.1,0,0,4
G.Jesus,5,1,24,0,0,0,0,0,0,0.19,0,0,-1
Jorginho,5,0,0,0,0,0,0,0,0,0,0,0,0
Kiwior,5,0,0,0,0,0,0,0,0,0,0,0,0
Martinelli,5,1,23,0,0,0,0.01,0,0,0,0,0,2
Nketiah,5,2,65,0,0,0.04,0.01,1,0,0.11,0,0,3
Odegaard,5,3,90,0,0,0.31,0.08,1,0,0.3,0,0,12
Thomas,5,0,0,0,0,0,0,0,0,0,0,0,0
Ramsdale,5,0,0,0,0,0,0,0,0,0,0,0,0
Saka,5,6,90,0,1,0,0.14,1,0,0.3,0,0,20
Saliba,5,6,90,0,0,0,0.01,1,0,0.3,0,0,27
Smith Rowe,5,0,0,0,0,0,0,0,0,0,0,0,0
Tavares,5,1,37,0,0,0,0.02,0,0,0.37,0,0,4
Tomiyasu,5,1,10,0,0,0,0,0,0,0.1,0,0,2
Trossard,5,11,66,1,0,0.09,0.05,1,0,0.3,0,3,35
Turner,5,2,90,0,0,0,0,0,1,0.56,2,0,15
White,5,7,90,0,0,0.04,0.13,1,0,0.3,0,1,28
Zinchenko,5,7,79,0,0,0.08,0.13,1,0,0.2,0,1,28
Archer,5,1,90,0,0,0,0.07,0,2,1.87,0,0,-2
Bailey,5,5,33,1,0,0.77,0.04,0,0,0.8,0,0,19
Cash,5,1,90,0,0,0.68,0.04,0,1,1.17,0,0,6
Coutinho,5,0,0,0,0,0,0,0,0,0,0,0,0
Diego Carlos,5,0,0,0,0,0,0,0,0,0,0,0,0
Digne,5,5,90,0,1,0.03,0.21,0,1,1.17,0,0,19
Douglas Luiz,5,10,90,1,0,0.79,0.1,0,1,1.17,0,3,41
Duran,5,5,19,1,0,0.1,0,0,0,0.35,0,1,23
Kamara,5,1,57,0,0,0,0.03,0,1,0.37,0,0,7
Konsa,5,2,90,0,0,0,0.02,0,1,1.17,0,0,15
Martinez,5,2,90,0,0,0,0,0,1,1.17,2,0,13
McGinn,5,1,70,0,0,0,0.06,0,1,0.82,0,0,6
Mings,5,0,0,0,0,0,0,0,0,0,0,0,0
Nakamba,5,2,90,0,0,0,0,0,1,0.98,0,0,19
