Id,Name,Team,Position,Price,Week,Points,MinutesPlayed,Goals,Assists,xGoals,xAssists,CleanSheets,GoalsConceded,xGoalsConceded,Saves,BonusPoints,BonusPointRating,PointsInLastFive,MinutesInLastFive,GoalsInLastFive,xGoalsInLastFive,xAssistsInLastFive,CleanSheetsInLastFive,GoalsConcededInLastFive,xGoalsConcededInLastFive,SavesInLastFive,BonusPointsInLastFive,BonusPointsRatingInLastFive,Opponent,OpponentGoalsScored,OpponentGoalsConceded,OpponentGoalsScoredInLastFive,OpponentGoalsConcededInLastFive
4,Fabio Vieira,Arsenal,Midfielder,5.4,33,22,281,1,3,1.2,0.5800000000000001,1,2,1.6800000000000002,0,0,65,1,45,0,0,0.23,0,0,0.2,0,0,3,AstonVilla,7,11,0,0
5,Gabriel,Arsenal,Defender,4.7,33,115,2354,3,1,3.3900000000000006,0.55,11,21,18.93,0,6,519,19,360,0,0.28,0.09999999999999999,3,1,2.42,0,0,84,AstonVilla,7,11,0,0
6,Havertz,Arsenal,Midfielder,7.2,33,118,1928,8,6,8.31,1.9100000000000001,11,17,13.889999999999999,0,8,330,29,335,2,1.1,0.35,3,1,2.25,0,4,83,AstonVilla,7,11,0,0
8,G.Jesus,Arsenal,Forward,7.9,33,66,1208,4,4,5.54,2.3999999999999995,8,11,10.729999999999997,0,10,216,3,117,0,0.24,0.39,1,0,1.26,0,0,6,AstonVilla,7,11,0,0
9,Jorginho,Arsenal,Midfielder,5.4,33,34,793,0,1,0.09999999999999999,1.1600000000000001,3,9,7.140000000000001,0,0,147,9,203,0,0,0.42000000000000004,2,1,1.54,0,0,36,AstonVilla,7,11,0,0
10,Kiwior,Arsenal,Defender,4.4,33,59,850,1,3,0.74,0.5700000000000001,5,8,4.970000000000001,0,1,233,18,233,1,0.06,0.17,2,1,1.91,0,1,68,AstonVilla,7,11,0,0
12,Martinelli,Arsenal,Midfielder,7.8,33,109,1775,6,5,5.27,4.4799999999999995,10,18,12.1,0,6,359,13,90,1,0.69,0.15,1,0,0.5,0,0,35,AstonVilla,7,11,0,0
13,Nketiah,Arsenal,Forward,5.5,33,69,1061,5,4,4.550000000000001,0.5300000000000001,6,10,10.060000000000002,0,5,204,1,24,0,0.03,0.01,0,0,0.17,0,0,-1,AstonVilla,7,11,0,0
14,Odegaard,Arsenal,Midfielder,8.5,33,142,2394,7,7,5.82,7.300000000000001,13,20,18.869999999999997,0,21,543,26,360,0,1.0899999999999999,0.81,3,1,2.42,0,5,89,AstonVilla,7,11,0,0
15,Thomas,Arsenal,Midfielder,4.8,33,13,366,0,0,0.07,0.35,2,2,2.98,0,0,82,6,116,0,0,0.14,1,0,0.44999999999999996,0,0,24,AstonVilla,7,11,0,0
