Id,Name,Team,Position,Price,Week,Points,MinutesPlayed,Goals,Assists,xGoals,xAssists,CleanSheets,GoalsConceded,xGoalsConceded,Saves,BonusPoints,BonusPointRating,PointsInLastFive,MinutesInLastFive,GoalsInLastFive,xGoalsInLastFive,xAssistsInLastFive,CleanSheetsInLastFive,GoalsConcededInLastFive,xGoalsConcededInLastFive,SavesInLastFive,BonusPointsInLastFive,BonusPointsRatingInLastFive,Opponent,OpponentGoalsScored,OpponentGoalsConceded,OpponentGoalsScoredInLastFive,OpponentGoalsConcededInLastFive,ActualPoints
4,Fabio Vieira,Arsenal,Midfielder,5.4,6,14,126,0,3,0.41,0.29000000000000004,1,1,0.51,0,0,43,14,126,3,0.41,0.29000000000000004,1,1,0.51,0,0,43,Spurs,13,5,0,0,1
5,Gabriel,Arsenal,Defender,4.7,6,9,204,0,0,0,0.03,1,1,2.01,0,0,46,9,204,0,0,0.03,1,1,2.01,0,0,46,Spurs,13,5,0,0,6
6,Havertz,Arsenal,Midfielder,7.2,6,8,321,0,0,0.7,0.47,1,3,3.5300000000000002,0,0,21,8,321,0,0.7,0.47,1,3,3.5300000000000002,0,0,21,Spurs,13,5,0,0,7
8,G.Jesus,Arsenal,Forward,7.9,6,8,39,1,0,0.81,0.05,0,0,0.37,0,2,25,8,39,0,0.81,0.05,0,0,0.37,0,2,25,Spurs,13,5,0,0,5
9,Jorginho,Arsenal,Midfielder,5.4,6,3,18,0,0,0,0.04,0,1,0.84,0,0,12,3,18,0,0,0.04,0,1,0.84,0,0,12,Spurs,13,5,0,0,1
10,Kiwior,Arsenal,Defender,4.4,6,2,91,0,0,0.32,0.03,0,2,0.79,0,0,14,2,91,0,0.32,0.03,0,2,0.79,0,0,14,Spurs,13,5,0,0,0
12,Martinelli,Arsenal,Midfielder,7.8,6,16,356,0,2,0.79,0.54,1,4,2.99,0,0,61,16,356,2,0.79,0.54,1,4,2.99,0,0,61,Spurs,13,5,0,0,0
13,Nketiah,Arsenal,Forward,5.5,6,22,335,2,1,1.58,0.2,3,2,2.03,0,2,67,22,335,1,1.58,0.2,3,2,2.03,0,2,67,Spurs,13,5,0,0,5
14,Odegaard,Arsenal,Midfielder,8.5,6,25,442,2,0,1.7000000000000002,0.46,2,3,3.53,0,3,89,25,442,0,1.7000000000000002,0.46,2,3,3.53,0,3,89,Spurs,13,5,0,0,17
15,Thomas,Arsenal,Midfielder,4.8,6,6,235,0,0,0.07,0.19,1,2,2.5300000000000002,0,0,55,6,235,0,0.07,0.19,1,2,2.5300000000000002,0,0,55,Spurs,13,5,0,0,0
17,Ramsdale,Arsenal,Goalkeeper,4.9,6,11,360,0,0,0,0.01,1,4,3.7300000000000004,5,0,55,11,360,0,0,0.01,1,4,3.7300000000000004,5,0,55,Spurs,13,5,0,0,0
19,Saka,Arsenal,Midfielder,8.7,6,31,448,2,2,2.16,1.7400000000000002,2,4,3.7699999999999996,0,4,120,31,448,2,2.16,1.7400000000000002,2,4,3.7699999999999996,0,4,120,Spurs,13,5,0,0,9
20,Saliba,Arsenal,Defender,5.2,6,22,450,0,1,0.04,0.09,2,4,4.03,0,2,109,22,450,1,0.04,0.09,2,4,4.03,0,2,109,Spurs,13,5,0,0,6
22,Smith Rowe,Arsenal,Midfielder,5.3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Spurs,13,5,0,0,1
25,Tomiyasu,Arsenal,Defender,4.5,6,6,130,0,0,0.03,0.07,1,1,2.85,0,0,27,6,130,0,0.03,0.07,1,1,2.85,0,0,27,Spurs,13,5,0,0,1
26,Trossard,Arsenal,Midfielder,6.6,6,13,128,1,0,0.09,0.7400000000000001,1,2,1.47,0,3,53,13,128,0,0.09,0.7400000000000001,1,2,1.47,0,3,53,Spurs,13,5,0,0,0
29,White,Arsenal,Defender,5.5,6,18,450,0,0,0.04,0.5700000000000001,2,4,4.03,0,2,99,18,450,0,0.04,0.5700000000000001,2,4,4.03,0,2,99,Spurs,13,5,0,0,14
