Name,Week,FixtureIds,Points,MinutesPlayed,Goals,Assists,xGoals,xAssists,CleanSheets,GoalsConceded,xGoalsConceded,Saves,BonusPoints,BonusPointsRating
Fabio Vieira,17,161,0,0,0,0,0,0,0,0,0,0,0,0
Gabriel,17,161,6,90,0,0,0.06,0.05,1,0,0.69,0,0,24
Havertz,17,161,8,88,1,0,0.63,0.04,1,0,0.67,0,0,24
G.Jesus,17,161,9,80,1,0,0.44,0.05,1,0,0.08,0,3,40
Jorginho,17,161,0,0,0,0,0,0,0,0,0,0,0,0
Kiwior,17,161,1,1,0,0,0,0,0,0,0.02,0,0,5
Martinelli,17,161,3,81,0,0,0.24,0.73,1,0,0.08,0,0,18
Nketiah,17,161,4,9,0,1,0,0,0,0,0.61,0,0,15
Odegaard,17,161,3,90,0,0,0.42,0.12,1,0,0.69,0,0,13
Thomas,17,161,0,0,0,0,0,0,0,0,0,0,0,0
Ramsdale,17,161,0,0,0,0,0,0,0,0,0,0,0,0
Saka,17,161,3,88,0,0,0.23,0.71,1,0,0.67,0,0,15
Saliba,17,161,7,90,0,0,0,0.01,1,0,0.69,0,1,29
Smith Rowe,17,161,1,1,0,0,0.09,0,0,0,0.02,0,0,3
Tavares,17,169,0,0,0,0,0,0,0,0,0,0,0,0
Tomiyasu,17,161,0,0,0,0,0,0,0,0,0,0,0,0
Trossard,17,161,1,8,0,0,0,0.04,0,0,0.61,0,0,3
Turner,17,169,2,90,0,0,0,0,0,2,1.53,4,0,13
White,17,161,5,90,0,0,0.05,0.04,1,0,0.69,0,0,21
Zinchenko,17,161,8,90,0,0,0,0.05,1,0,0.67,0,2,30
Archer,17,165,2,90,0,0,0.23,0,0,2,2.75,0,0,7
Bailey,17,163,3,25,0,1,0,0.23,0,0,0,0,0,11
Cash,17,163,2,64,0,0,0.17,0.02,0,1,0.51,0,0,3
Coutinho,17,163,0,0,0,0,0,0,0,0,0,0,0,0
Diego Carlos,17,163,2,90,0,0,0,0.18,0,1,0.51,0,0,16
Digne,17,163,0,0,0,0,0,0,0,0,0,0,0,0
Douglas Luiz,17,163,0,0,0,0,0,0,0,0,0,0,0,0
Duran,17,163,0,25,0,0,0.03,0,0,0,0,0,0,1
Kamara,17,163,2,90,0,1,0.02,0.52,0,1,0.51,0,0,18
Konsa,17,163,1,90,0,0,0.03,0.12,0,1,0.51,0,0,12
Martinez,17,163,1,90,0,0,0,0,0,1,0.51,2,0,9
McGinn,17,163,2,90,0,0,0.02,0.11,0,1,0.51,0,0,12
Mings,17,163,0,0,0,0,0,0,0,0,0,0,0,0
Nakamba,17,,0,0,0,0,0,0,0,0,0,0,0,0
Olsen,17,163,0,0,0,0,0,0,0,0,0,0,0,0
Tielemans,17,163,0,0,0,0,0,0,0,0,0,0,0,0
Bertrand Traore,17,163,0,0,0,0,0,0,0,0,0,0,0,0
Watkins,17,163,9,90,1,0,0.28,0.16,0,1,0.51,0,3,40
Billing,17,,0,0,0,0,0,0,0,0,0,0,0,0
Brooks,17,,0,0,0,0,0,0,0,0,0,0,0,0
Christie,17,,0,0,0,0,0,0,0,0,0,0,0,0
L.Cook,17,,0,0,0,0,0,0,0,0,0,0,0,0
Kelly,17,,0,0,0,0,0,0,0,0,0,0,0,0
Kluivert,17,,0,0,0,0,0,0,0,0,0,0,0,0
Lowe,17,,0,0,0,0,0,0,0,0,0,0,0,0
Mepham,17,,0,0,0,0,0,0,0,0,0,0,0,0
Moore,17,,0,0,0,0,0,0,0,0,0,0,0,0
N.Neto,17,,0,0,0,0,0,0,0,0,0,0,0,0
Rothwell,17,,0,0,0,0,0,0,0,0,0,0,0,0
Semenyo,17,,0,0,0,0,0,0,0,0,0,0,0,0
Senesi,17,,0,0,0,0,0,0,0,0,0,0,0,0
Solanke,17,,0,0,0,0,0,0,0,0,0,0,0,0
Tavernier,17,,0,0,0,0,0,0,0,0,0,0,0,0
Hamed Traorè,17,,0,0,0,0,0,0,0,0,0,0,0,0
Zabarnyi,17,,0,0,0,0,0,0,0,0,0,0,0,0
Ajer,17,163,0,0,0,0,0,0,0,0,0,0,0,0
Collins,17,163,0,14,0,0,0,0,0,2,0.55,0,0,2
Damsgaard,17,163,3,67,0,0,0.21,0.1,1,0,0.85,0,0,7
Dasilva,17,163,0,0,0,0,0,0,0,0,0,0,0,0
Flekken,17,163,2,90,0,0,0,0,0,2,1.42,3,0,14
Henry,17,163,0,0,0,0,0,0,0,0,0,0,0,0
Hickey,17,163,0,0,0,0,0,0,0,0,0,0,0,0
Janelt,17,163,1,87,0,0,0,0.01,0,2,1.39,0,0,4
Jensen,17,163,0,0,0,0,0,0,0,0,0,0,0,0
Lewis-Potter,17,163,9,67,1,0,0.11,0.01,1,0,0.85,0,1,21
Mbeumo,17,163,0,0,0,0,0,0,0,0,0,0,0,0
Mee,17,163,-2,70,0,0,0,0,0,2,2,0,0,-3
Norgaard,17,163,1,90,0,0,0,0.16,0,2,1.42,0,0,6
Onyeka,17,163,0,22,0,0,0,0,0,2,0.58,0,0,1
Pinnock,17,163,1,90,0,0,0,0,0,2,1.42,0,0,11
Raya,17,161,6,90,0,0,0,0,1,0,0.69,1,0,22
Schade,17,163,0,0,0,0,0,0,0,0,0,0,0,0
Toney,17,163,0,0,0,0,0,0,0,0,0,0,0,0
Wissa,17,163,2,75,0,0,0.18,0.01,1,0,0.88,0,0,-4
Adingra,17,161,2,78,0,0,0,0.03,0,1,1.84,0,0,4
Caicedo,17,165,3,90,0,0,0.04,0.04,1,0,0.37,0,0,18
Dahoud,17,161,0,0,0,0,0,0,0,0,0,0,0,0
Dunk,17,161,1,90,0,0,0.02,0.02,0,2,2.26,0,0,13
Enciso,17,161,0,0,0,0,0,0,0,0,0,0,0,0
Estupinan,17,161,0,0,0,0,0,0,0,0,0,0,0,0
Ferguson,17,161,1,59,0,0,0,0.01,0,1,1.28,0,0,1
Gilmour,17,161,1,90,0,0,0,0.02,0,2,2.26,0,0,8
Gross,17,161,1,90,0,0,0.41,0.17,0,2,2.26,0,0,10
Joao Pedro,17,161,1,30,0,0,0.11,0.02,0,1,0.97,0,0,2
Lallana,17,161,1,59,0,0,0,0,0,1,1.28,0,0,3
Lamptey,17,161,0,0,0,0,0,0,0,0,0,0,0,0
March,17,161,0,0,0,0,0,0,0,0,0,0,0,0
Milner,17,161,1,59,0,0,0,0,0,1,1.28,0,0,2
Mitoma,17,161,1,90,0,0,0,0.06,0,2,2.26,0,0,4
Sanchez,17,165,0,0,0,0,0,0,0,0,0,0,0,0
Steele,17,161,0,0,0,0,0,0,0,0,0,0,0,0
Van Hecke,17,161,1,90,0,0,0,0.01,0,2,2.26,0,0,15
Veltman,17,161,1,26,0,0,0,0,0,0,0.45,0,0,4
Verbruggen,17,161,3,90,0,0,0,0,0,2,2.26,6,0,28
Webster,17,161,0,0,0,0,0,0,0,0,0,0,0,0
Welbeck,17,161,1,11,0,0,0,0,0,1,0.42,0,0,4
Al-Dakhil,17,164,1,20,0,0,0,0,0,0,0.27,0,0,3
Benson,17,164,1,8,0,0,0,0.01,0,0,0.27,0,0,3
Beyer,17,164,1,90,0,0,0.07,0.1,0,2,1.34,0,0,14
Brownhill,17,164,2,90,0,0,0,0.16,0,2,1.34,0,0,13
Cork,17,164,0,0,0,0,0,0,0,0,0,0,0,0
Cullen,17,164,0,0,0,0,0,0,0,0,0,0,0,0
Foster,17,164,1,45,0,0,0.07,0,0,0,0.37,0,0,2
Gudmundsson,17,164,0,0,0,0,0,0,0,0,0,0,0,0
O'Shea,17,164,1,90,0,0,0,0.02,0,2,1.34,0,0,13
Roberts,17,164,0,0,0,0,0,0,0,0,0,0,0,0
Rodriguez,17,164,1,45,0,0,0.21,0,0,2,0.97,0,0,3
Taylor,17,164,0,0,0,0,0,0,0,0,0,0,0,0
Vitinho,17,164,1,86,0,0,0,0.1,0,2,1.07,0,0,8
Chalobah,17,165,0,0,0,0,0,0,0,0,0,0,0,0
Chilwell,17,165,0,0,0,0,0,0,0,0,0,0,0,0
Chukwuemeka,17,165,0,0,0,0,0,0,0,0,0,0,0,0
Colwill,17,165,6,90,0,0,0,0.01,1,0,0.37,0,0,23
Cucurella,17,165,0,0,0,0,0,0,0,0,0,0,0,0
Enzo,17,165,1,21,0,0,0,0.01,0,0,0.22,0,0,3
W.Fofana,17,165,0,0,0,0,0,0,0,0,0,0,0,0
Gallagher,17,165,2,90,0,0,0.06,0.07,1,0,0.37,0,0,12
Gusto,17,165,1,1,0,0,0,0,0,0,0,0,0,5
Hudson-Odoi,17,169,1,7,0,0,0,0.02,0,0,0.17,0,0,4
James,17,165,0,0,0,0,0,0,0,0,0,0,0,0
Madueke,17,165,0,0,0,0,0,0,0,0,0,0,0,0
Mount,17,166,0,0,0,0,0,0,0,0,0,0,0,0
Mudryk,17,165,3,68,0,0,0.01,0.02,1,0,0.16,0,0,-1
N.Jackson,17,165,6,90,1,0,1.22,0.03,1,0,0.37,0,0,24
Nkunku,17,165,0,0,0,0,0,0,0,0,0,0,0,0
M.Sarr,17,165,0,0,0,0,0,0,0,0,0,0,0,0
Sterling,17,165,6,74,0,1,0.22,0.59,1,0,0.24,0,0,18
T.Silva,17,165,8,90,0,0,0,0.03,1,0,0.37,0,2,32
Ahamada,17,167,1,9,0,0,0.03,0,0,0,0.03,0,0,3
Andersen,17,167,0,90,0,0,0,0,0,2,1.61,0,0,4
J.Ayew,17,167,0,0,0,0,0,0,0,0,0,0,0,0
C.Doucoure,17,167,0,0,0,0,0,0,0,0,0,0,0,0
Edouard,17,167,0,0,0,0,0,0,0,0,0,0,0,0
Eze,17,167,1,1,0,0,0,0,0,0,0,0,0,2
Guehi,17,167,1,90,0,0,0,0.01,0,2,1.61,0,0,15
Hughes,17,167,0,0,0,0,0,0,0,0,0,0,0,0
Johnstone,17,167,0,0,0,0,0,0,0,0,0,0,0,0
Lerma,17,167,0,0,0,0,0,0,0,0,0,0,0,0
Mateta,17,167,12,90,1,1,0.91,0,0,2,1.61,0,3,40
Mitchell,17,167,1,90,0,0,0,0,0,2,1.61,0,0,7
Olise,17,167,9,90,1,0,0.84,0.04,0,2,1.61,0,2,32
Schlupp,17,167,5,80,0,1,0.04,0.58,0,2,1.58,0,0,19
Tomkins,17,167,0,0,0,0,0,0,0,0,0,0,0,0
Ward,17,167,1,33,0,0,0,0,0,1,1.09,0,0,4
Branthwaite,17,164,0,0,0,0,0,0,0,0,0,0,0,0
Calvert-Lewin,17,164,2,81,0,0,0.25,0.03,1,0,0.7,0,0,1
A.Doucoure,17,164,1,45,0,0,0,0.01,0,0,0.48,0,0,4
Garner,17,164,2,90,0,0,0.03,0.24,1,0,0.77,0,0,8
Godfrey,17,164,6,90,0,0,0,0,1,0,0.77,0,0,22
Gana,17,164,0,0,0,0,0,0,0,0,0,0,0,0
Iwobi,17,168,2,76,0,0,0.12,0.03,0,2,2.4,0,0,3
Keane,17,164,14,90,1,0,0.47,0.01,1,0,0.77,0,2,32
Maupay,17,163,0,22,0,0,0,0,0,2,0.58,0,0,-1
McNeil,17,164,6,90,0,1,0.07,0.22,1,0,0.77,0,0,20
Mykolenko,17,164,0,0,0,0,0,0,0,0,0,0,0,0
Onana,17,164,11,90,1,0,0.26,0.03,1,0,0.77,0,3,39
Patterson,17,164,7,90,0,0,0,0.18,1,0,0.77,0,1,28
Pickford,17,164,6,90,0,0,0,0.05,1,0,0.77,2,0,25
Tarkowski,17,164,6,90,0,0,0,0.02,1,0,0.77,0,0,26
Andreas,17,168,2,60,0,0,0.02,0.01,0,1,1.46,0,0,7
Cairney,17,168,2,75,0,0,0.02,0.01,0,2,2.4,0,0,16
De Cordova-Reid,17,168,0,13,0,0,0,0,0,1,1.57,0,0,-1
Diop,17,168,1,90,0,0,0,0,0,3,3.97,0,0,9
Leno,17,168,3,90,0,0,0,0,0,3,3.97,7,0,23
Lukic,17,168,1,14,0,0,0,0.24,0,1,1.57,0,0,3
J.Palhinha,17,168,1,75,0,0,0.02,0,0,2,2.4,0,0,1
Ream,17,168,0,0,0,0,0,0,0,0,0,0,0,0
Reed,17,168,1,14,0,0,0,0.01,0,1,1.57,0,0,4
Robinson,17,168,1,90,0,0,0,0.01,0,3,3.97,0,0,17
Tete,17,168,0,29,0,0,0,0.03,0,2,2.51,0,0,7
Tosin,17,168,1,90,0,0,0,0.01,0,3,3.97,0,0,6
H.Wilson,17,168,2,90,0,0,0,0.02,0,3,3.97,0,0,8
Alexander-Arnold,17,166,9,90,0,0,0.23,0.42,1,0,0.63,0,3,39
A.Becker,17,166,6,90,0,0,0,0,1,0,0.63,2,0,29
Bajcetic,17,166,0,0,0,0,0,0,0,0,0,0,0,0
Darwin,17,166,1,77,0,0,0.23,0.35,1,0,0.63,0,0,2
