Id,Gameweek,Home,Away,HomeGoals,AwayGoals,xHomeGoals,xAwayGoals
1,1,ManUtd,Fulham,1,0,1.59,0.44
4,1,Ipswich,Liverpool,0,2,0.45,2.65
2,1,Arsenal,Wolves,2,0,1.24,0.47
3,1,Everton,Brighton,0,3,0.45,1.43
5,1,Newcastle,Southampton,1,0,0.25,1.77
6,1,NottmForest,Bournemouth,1,1,1.3,1.22
7,1,WestHam,AstonVilla,1,2,2.46,2.03
8,1,Brentford,CrystalPalace,2,1,1.59,1.17
9,1,Chelsea,ManCity,0,2,1.01,0.77
10,1,Leicester,Spurs,1,1,1.02,1.23
13,2,Brighton,ManUtd,2,1,2.09,1.43
14,2,CrystalPalace,WestHam,0,2,1.35,1.39
15,2,Fulham,Leicester,2,1,1.78,0.61
17,2,ManCity,Ipswich,4,1,3.34,0.29
18,2,Southampton,NottmForest,0,1,0.14,2.45
19,2,Spurs,Everton,4,0,2.43,1
11,2,AstonVilla,Arsenal,0,2,1.28,0.87
12,2,Bournemouth,Newcastle,1,1,2.23,1.61
20,2,Wolves,Chelsea,2,6,1.92,1.56
16,2,Liverpool,Brentford,2,0,2.65,0.36
21,3,Arsenal,Brighton,1,1,2.08,1.83
22,3,Brentford,Southampton,3,1,2.78,1.57
24,3,Everton,Bournemouth,2,3,1.97,2.22
25,3,Ipswich,Fulham,1,1,0.45,0.95
26,3,Leicester,AstonVilla,1,2,0.45,1.55
29,3,NottmForest,Wolves,1,1,1.04,0.74
30,3,WestHam,ManCity,1,3,0.73,3
23,3,Chelsea,CrystalPalace,1,1,2.27,0.44
28,3,Newcastle,Spurs,2,1,1.57,1.26
27,3,ManUtd,Liverpool,0,3,1.36,1.73
38,4,Southampton,ManUtd,0,3,1.12,2.67
33,4,Brighton,Ipswich,0,0,1.66,0.35
34,4,CrystalPalace,Leicester,2,2,2.55,1.23
35,4,Fulham,WestHam,1,1,1.54,0.76
36,4,Liverpool,NottmForest,0,1,0.94,0.44
37,4,ManCity,Brentford,2,1,2.17,0.96
31,4,AstonVilla,Everton,3,2,2.12,0.9
32,4,Bournemouth,Chelsea,0,1,1.78,0.78
39,4,Spurs,Arsenal,0,1,0.74,0.73
40,4,Wolves,Newcastle,1,2,0.99,1.21
50,5,WestHam,Chelsea,0,3,0.85,2.19
41,5,AstonVilla,Wolves,3,1,1.73,0.51
44,5,Fulham,Newcastle,3,1,2.29,1.54
45,5,Leicester,Everton,1,1,0.66,1.1
46,5,Liverpool,Bournemouth,3,0,2.06,1.08
48,5,Southampton,Ipswich,1,1,2.49,1.69
49,5,Spurs,Brentford,3,1,3.52,0.8
43,5,CrystalPalace,ManUtd,0,0,1.01,1.7
42,5,Brighton,NottmForest,2,2,0.94,1.53
47,5,ManCity,Arsenal,2,2,2.16,0.65
58,6,Newcastle,ManCity,1,1,1.57,0.91
51,6,Arsenal,Leicester,4,2,4.6,0.32
53,6,Brentford,WestHam,1,1,0.37,0.99
54,6,Chelsea,Brighton,4,2,4.16,1.11
55,6,Everton,CrystalPalace,2,1,0.89,0.95
59,6,NottmForest,Fulham,0,1,0.8,1.33
60,6,Wolves,Liverpool,1,2,0.63,2.54
56,6,Ipswich,AstonVilla,2,2,1.18,0.82
57,6,ManUtd,Spurs,0,3,0.96,4.59
52,6,Bournemouth,Southampton,3,1,1.38,0.6
66,7,CrystalPalace,Liverpool,0,1,0.64,1.4
61,7,Arsenal,Southampton,3,1,2.83,0.65
63,7,Brentford,Wolves,5,3,4.25,0.84
68,7,Leicester,Bournemouth,1,0,0.79,2.16
69,7,ManCity,Fulham,3,2,1.57,2.6
70,7,WestHam,Ipswich,4,1,3.79,0.65
67,7,Everton,Newcastle,0,0,0.67,2.05
62,7,AstonVilla,ManUtd,0,0,0.42,0.52
65,7,Chelsea,NottmForest,1,1,2.27,0.85
64,7,Brighton,Spurs,3,2,1.82,1.37
