Name,Week,FixtureIds,Points,MinutesPlayed,Goals,Assists,xGoals,xAssists,CleanSheets,GoalsConceded,xGoalsConceded,Saves,BonusPoints,BonusPointsRating
G.Jesus,2,11,0,0,0,0,0,0,0,0,0,0,0,0
Gabriel,2,11,6,90,0,0,0,0.02,1,0,1.28,0,1,25
Havertz,2,11,2,90,0,0,0.21,0.03,1,0,1.28,0,0,-2
J.Timber,2,11,6,78,0,0,0,0.01,1,0,1.12,0,0,24
Jorginho,2,11,0,0,0,0,0,0,0,0,0,0,0,0
Kiwior,2,11,0,0,0,0,0,0,0,0,0,0,0,0
Martinelli,2,11,3,64,0,0,0,0.41,1,0,1.12,0,0,9
Nelson,2,11,1,2,0,0,0,0,0,0,0.02,0,0,3
Nketiah,2,11,0,0,0,0,0,0,0,0,0,0,0,0
Nwaneri,2,11,0,0,0,0,0,0,0,0,0,0,0,0
Odegaard,2,11,2,90,0,0,0.26,0.6,1,0,1.28,0,0,4
Ramsdale,2,11,0,0,0,0,0,0,0,0,0,0,0,0
Raya,2,11,10,90,0,0,0,0,1,0,1.28,3,3,27
Rice,2,11,2,90,0,0,0.07,0.11,1,0,1.28,0,0,18
Saka,2,11,6,87,0,1,0.05,0.1,1,0,1.25,0,0,21
Saliba,2,11,6,90,0,0,0,0.01,1,0,1.28,0,0,24
Smith Rowe,2,15,10,68,1,0,0.53,0.03,0,1,0.34,0,3,32
Thomas,2,11,11,90,1,0,0.1,0.08,1,0,1.28,0,3,27
Tomiyasu,2,11,0,0,0,0,0,0,0,0,0,0,0,0
Trossard,2,11,7,25,1,0,0.18,0.02,0,0,0.16,0,1,25
White,2,11,6,90,0,0,0,0.02,1,0,1.28,0,0,23
Zinchenko,2,11,0,0,0,0,0,0,0,0,0,0,0,0
Alex Moreno,2,18,0,0,0,0,0,0,0,0,0,0,0,0
Archer,2,18,1,18,0,0,0,0.02,0,0,0.31,0,0,3
Bailey,2,11,2,90,0,0,0.04,0.02,0,2,0.87,0,0,10
Barkley,2,11,1,14,0,0,0.02,0.01,0,1,0.38,0,0,2
Buendia,2,11,0,0,0,0,0,0,0,0,0,0,0,0
Cash,2,11,1,15,0,0,0,0,0,0,0.12,0,0,3
Diego Carlos,2,11,0,0,0,0,0,0,0,0,0,0,0,0
Digne,2,11,2,75,0,0,0,0.03,0,1,0.49,0,0,8
Duran,2,11,1,25,0,0,0.1,0.14,0,2,0.51,0,0,1
Konsa,2,11,1,90,0,0,0,0.01,0,2,0.87,0,0,7
Maatsen,2,11,1,14,0,0,0,0.09,0,1,0.38,0,0,0
Martinez,2,11,1,90,0,0,0,0,0,2,0.87,2,0,10
McGinn,2,11,3,64,0,0,0,0.01,1,0,0.36,0,0,10
Nedeljkovic,2,11,1,74,0,0,0,0.01,0,2,0.75,0,0,1
Pau,2,11,1,90,0,0,0,0.01,0,2,0.87,0,0,3
Ramsey,2,11,1,25,0,0,0.03,0.01,0,2,0.51,0,0,7
Rogers,2,11,2,90,0,0,0.11,0.07,0,2,0.87,0,0,16
Tielemans,2,11,2,90,0,0,0,0.04,0,2,0.87,0,0,8
Watkins,2,11,2,64,0,0,0.87,0,1,0,0.36,0,0,-1
Brooks,2,12,0,0,0,0,0,0,0,0,0,0,0,0
Christie,2,12,2,63,0,0,0,0.03,1,0,0.25,0,0,7
Cook,2,12,2,90,0,0,0,0.3,0,1,1.61,0,0,14
Enes Ünal,2,12,0,0,0,0,0,0,0,0,0,0,0,0
Jebbison,2,12,1,5,0,0,0,0,0,0,0.06,0,0,3
Kerkez,2,12,2,90,0,0,0,0.01,0,1,1.61,0,0,4
Kluivert,2,12,3,71,0,0,0.04,0.13,1,0,0.59,0,0,2
N.Neto,2,12,3,90,0,0,0,0,0,1,1.61,4,0,13
O.Dango,2,12,1,18,0,0,0.26,0,0,1,1.03,0,0,6
Philip,2,12,0,0,0,0,0,0,0,0,0,0,0,0
Scott,2,12,1,26,0,0,0.02,0.01,0,1,1.36,0,0,3
Semenyo,2,12,5,90,0,1,0.27,1.23,0,1,1.61,0,0,20
Senesi,2,12,1,90,0,0,0,0.03,0,1,1.61,0,0,11
Sinisterra,2,12,1,18,0,0,0.04,0.05,0,1,1.03,0,0,7
Smith,2,12,1,4,0,0,0,0,0,0,0.06,0,0,3
Solanke,2,19,0,0,0,0,0,0,0,0,0,0,0,0
Tavernier,2,12,9,84,1,0,0.84,0.04,0,1,1.56,0,2,32
Travers,2,12,0,0,0,0,0,0,0,0,0,0,0,0
Zabarnyi,2,12,2,90,0,0,0,0.01,0,1,1.61,0,0,13
Ajer,2,16,1,90,0,0,0,0.01,0,2,2.65,0,0,-2
Collins,2,16,1,90,0,0,0.15,0,0,2,2.65,0,0,10
Damsgaard,2,16,1,24,0,0,0,0,0,1,0.67,0,0,5
Flekken,2,16,3,90,0,0,0,0,0,2,2.65,6,0,16
Janelt,2,16,2,72,0,0,0,0.01,0,2,2.52,0,0,10
Jensen,2,16,1,65,0,0,0.02,0.13,0,1,1.99,0,0,4
Konak,2,16,0,0,0,0,0,0,0,0,0,0,0,0
Lewis-Potter,2,16,2,65,0,0,0.06,0.02,0,1,1.99,0,0,10
Mbeumo,2,16,1,90,0,0,0.03,0.12,0,2,2.65,0,0,6
Mee,2,16,0,0,0,0,0,0,0,0,0,0,0,0
Norgaard,2,16,1,90,0,0,0.1,0.02,0,2,2.65,0,0,7
Onyeka,2,16,1,17,0,0,0,0.02,0,0,0.13,0,0,1
Pinnock,2,16,1,90,0,0,0,0,0,2,2.65,0,0,7
Roerslev,2,16,1,90,0,0,0.01,0,0,2,2.65,0,0,-1
Schade,2,16,1,17,0,0,0,0,0,0,0.13,0,0,3
Wissa,2,16,2,72,0,0,0,0.01,0,2,2.52,0,0,7
Yarmoliuk,2,16,0,0,0,0,0,0,0,0,0,0,0,0
Adingra,2,13,4,1,0,1,0.09,0.56,0,0,0.1,0,0,14
Baleba,2,13,1,17,0,0,0,0,0,0,0.1,0,0,8
Buonanotte,2,15,5,70,0,1,0,0.19,0,2,1.74,0,0,19
Dunk,2,13,2,90,0,0,0,0.01,0,1,1.43,0,0,11
Enciso,2,13,1,11,0,0,0.03,0,0,0,0.1,0,0,2
Estupinan,2,13,0,0,0,0,0,0,0,0,0,0,0,0
Ferguson,2,13,0,0,0,0,0,0,0,0,0,0,0,0
Gilmour,2,13,2,89,0,0,0.08,0.04,0,1,1.32,0,0,17
Hinshelwood,2,13,2,90,0,0,0,0.19,0,1,1.43,0,0,13
Igor,2,13,0,0,0,0,0,0,0,0,0,0,0,0
Joao Pedro,2,13,8,90,1,0,0.53,0.12,0,1,1.43,0,2,36
Milner,2,13,2,72,0,0,0.16,0.04,0,1,1.32,0,0,12
Minteh,2,13,2,89,0,0,0.08,0.24,0,1,1.32,0,0,4
Mitoma,2,13,6,89,0,1,0,0.58,0,1,1.32,0,1,20
Sarmiento,2,13,0,0,0,0,0,0,0,0,0,0,0,0
Steele,2,13,2,90,0,0,0,0,0,1,1.43,2,0,15
Van Hecke,2,13,1,90,0,0,0,0.02,0,1,1.43,0,0,7
Veltman,2,13,2,90,0,0,0,0.45,0,1,1.43,0,0,16
Verbruggen,2,13,0,0,0,0,0,0,0,0,0,0,0,0
Webster,2,13,0,0,0,0,0,0,0,0,0,0,0,0
Welbeck,2,13,9,78,1,0,1.11,0.02,0,1,1.32,0,3,38
Wieffer,2,13,0,0,0,0,0,0,0,0,0,0,0,0
Arrizabalaga,2,20,0,0,0,0,0,0,0,0,0,0,0,0
Caicedo,2,20,2,75,0,0,0,0.02,0,2,1.8,0,0,8
Chalobah,2,20,0,0,0,0,0,0,0,0,0,0,0,0
Colwill,2,20,1,90,0,0,0,0,0,2,1.92,0,0,10
Cucurella,2,20,0,82,0,0,0,0.18,0,2,1.8,0,0,7
Dewsbury-Hall,2,20,1,14,0,0,0,0,0,0,0.12,0,0,1
Disasi,2,20,0,0,0,0,0,0,0,0,0,0,0,0
Enzo,2,20,2,90,0,0,0,0.04,0,2,1.92,0,0,15
Gusto,2,20,0,90,0,0,0,0.03,0,2,1.92,0,0,6
Lavia,2,20,0,0,0,0,0,0,0,0,0,0,0,0
Madueke,2,20,20,90,3,0,0.54,0.11,0,2,1.92,0,3,76
Marc Guiu,2,20,0,0,0,0,0,0,0,0,0,0,0,0
Mudryk,2,20,1,45,0,0,0,0.01,0,2,1.75,0,0,1
N.Jackson,2,20,10,67,1,1,0.17,0.01,0,2,1.8,0,1,39
Nkunku,2,20,1,7,0,0,0,0.02,0,0,0.12,0,0,6
Palmer,2,20,17,82,1,3,0.67,0.15,0,2,1.8,0,2,61
Renato Veiga,2,20,1,7,0,0,0,0,0,0,0.12,0,0,4
Sanchez,2,20,1,90,0,0,0,0,0,2,1.92,2,0,8
Sterling,2,20,0,0,0,0,0,0,0,0,0,0,0,0
Tosin,2,20,0,0,0,0,0,0,0,0,0,0,0,0
Ugochukwu,2,18,0,0,0,0,0,0,0,0,0,0,0,0
W.Fofana,2,20,1,90,0,0,0,0,0,2,1.92,0,0,2
Andersen,2,15,0,0,0,0,0,0,0,0,0,0,0,0
J.Ayew,2,15,1,27,0,0,0.09,0.04,0,1,0.22,0,0,7
C.Doucoure,2,14,0,0,0,0,0,0,0,0,0,0,0,0
C.Richards,2,14,1,80,0,0,0.12,0,0,2,1.13,0,0,1
Chadi Riad,2,14,1,90,0,0,0,0.02,0,2,1.39,0,0,3
Clyne,2,14,0,0,0,0,0,0,0,0,0,0,0,0
Edouard,2,14,2,70,0,0,0.34,0.01,0,1,1.03,0,0,2
Eze,2,14,2,90,0,0,0.45,0.17,0,2,1.39,0,0,14
Guehi,2,14,1,90,0,0,0,0.02,0,2,1.39,0,0,6
Henderson,2,14,1,90,0,0,0,0,0,2,1.39,1,0,1
Hughes,2,14,0,0,0,0,0,0,0,0,0,0,0,0
Johnstone,2,14,0,0,0,0,0,0,0,0,0,0,0,0
Kamada,2,14,1,27,0,0,0,0.03,0,2,0.56,0,0,7
Lerma,2,14,2,62,0,0,0.02,0.01,1,0,0.83,0,0,5
Mateta,2,14,2,90,0,0,0.3,0.23,0,2,1.39,0,0,5
Mitchell,2,14,1,90,0,0,0,0.08,0,2,1.39,0,0,7
Munoz,2,14,1,90,0,0,0,0.02,0,2,1.39,0,0,9
Schlupp,2,14,1,9,0,0,0,0,0,0,0.26,0,0,3
Wharton,2,14,2,90,0,0,0.02,0.17,0,2,1.39,0,0,16
A.Doucoure,2,19,1,56,0,0,0.07,0,0,2,1.66,0,0,3
Beto,2,19,1,18,0,0,0,0,0,1,0.25,0,0,0
Branthwaite,2,19,0,0,0,0,0,0,0,0,0,0,0,0
Calvert-Lewin,2,19,2,71,0,0,0.05,0,0,3,2.18,0,0,2
Coleman,2,19,0,0,0,0,0,0,0,0,0,0,0,0
Gana,2,19,2,90,0,0,0,0.01,0,4,2.43,0,0,8
