Id,Name,Team,Position,Price,Goals,Assists,Clean Sheets,Goals Conceded,Minutes
0,Haaland,Forward,Man City,15.4,10,0,1,8,629
0,Palmer,Midfielder,Chelsea,10.8,6,5,2,8,595
0,M.Salah,Midfielder,Liverpool,12.7,4,4,5,2,604
0,Luis Diaz,Midfielder,Liverpool,8.1,5,1,5,1,446
0,Saka,Midfielder,Arsenal,10.1,2,7,3,5,566
0,Mbeumo,Midfielder,Brentford,7.5,6,0,0,13,629
0,Madueke,Midfielder,Chelsea,6.5,4,1,2,6,476
0,N.Jackson,Forward,Chelsea,7.9,4,3,2,7,521
0,Alexander-Arnold,Defender,Liverpool,7.1,0,1,5,2,582
0,McNeil,Midfielder,Everton,5.7,3,2,1,15,622
0,Watkins,Forward,Aston Villa,9.1,4,2,3,6,531
0,Welbeck,Forward,Brighton,5.8,4,1,2,10,596
0,Havertz,Forward,Arsenal,8.3,4,1,3,6,630
0,Gabriel,Defender,Arsenal,6.2,2,0,3,6,630
0,Maddison,Midfielder,Spurs,7.5,2,3,2,8,563
0,Onana,Goalkeeper,Man Utd,5,0,0,4,8,630
0,Wood,Forward,Nottm Forest,6.2,4,0,3,5,557
0,Barnes,Midfielder,Newcastle,6.5,3,1,1,5,384
0,Konate,Defender,Liverpool,5.2,1,1,4,2,569
0,Bowen,Midfielder,West Ham,7.4,2,3,1,10,607
0,Johnson,Midfielder,Spurs,6.5,3,2,2,7,513
0,Kovačic,Midfielder,Man City,5.5,3,1,1,8,523
0,Raya,Goalkeeper,Arsenal,5.6,0,0,3,6,630
0,Sanchez,Goalkeeper,Chelsea,4.7,0,0,2,8,630
0,Virgil,Defender,Liverpool,6,0,0,5,2,630
0,A.Becker,Goalkeeper,Liverpool,5.5,0,0,4,2,528
0,Dalot,Defender,Man Utd,5.1,0,1,4,8,630
0,Diogo J.,Midfielder,Liverpool,7.4,2,3,4,1,463
0,Martinelli,Midfielder,Arsenal,7,2,2,3,3,438
0,Smith Rowe,Midfielder,Fulham,5.7,2,1,3,4,469
0,Son,Midfielder,Spurs,9.9,2,2,1,5,450
0,Raul,Forward,Fulham,5.6,3,1,2,4,336
0,Delap,Forward,Ipswich,5.6,4,0,0,13,537
0,Mitoma,Midfielder,Brighton,6.6,1,3,2,10,621
0,Pope,Goalkeeper,Newcastle,5,0,0,2,7,630
0,Semenyo,Midfielder,Bournemouth,5.7,3,1,0,10,607
0,Antonio,Forward,West Ham,5.4,1,4,1,6,427
0,Cunha,Forward,Wolves,6.5,3,0,0,19,550
0,Gordon,Midfielder,Newcastle,7.3,2,0,2,6,599
0,Justin,Defender,Leicester,4.6,2,1,1,12,630
0,Adama,Midfielder,Fulham,5.1,1,2,2,7,556
0,Buonanotte,Midfielder,Leicester,5,2,2,1,5,369
0,Robertson,Defender,Liverpool,6,0,0,4,2,513
0,Rogers,Midfielder,Aston Villa,5.3,1,2,1,8,603
0,Romero,Defender,Spurs,5.1,1,0,2,8,630
0,Wissa,Forward,Brentford,5.9,3,1,0,6,290
0,Calvert-Lewin,Forward,Everton,6,2,1,1,11,593
0,Duran,Forward,Aston Villa,6.2,4,0,0,4,184
0,Iwobi,Midfielder,Fulham,5.5,1,1,2,6,587
0,Souček,Midfielder,West Ham,5,2,1,1,7,457
0,Mazraoui,Defender,Man Utd,4.6,0,1,3,8,558
0,Pedro Porro,Defender,Spurs,5.5,1,0,2,8,627
0,Sels,Goalkeeper,Nottm Forest,4.5,0,0,2,6,630
0,Bernardo,Midfielder,Man City,6.5,0,3,1,7,546
0,Collins,Defender,Brentford,4.5,1,3,0,13,630
0,De Ligt,Defender,Man Utd,5,1,0,2,7,399
0,Georginio,Midfielder,Brighton,5.5,2,1,1,8,298
0,Mavididi,Midfielder,Leicester,5.3,2,0,1,4,384
0,Onana,Midfielder,Aston Villa,5.1,2,0,1,7,422
0,Pickford,Goalkeeper,Everton,4.8,0,0,1,15,630
0,Robinson,Defender,Fulham,4.7,0,2,1,8,630
0,Strand Larsen,Forward,Wolves,5.5,2,1,1,18,564
0,Van de Ven,Defender,Spurs,4.6,0,2,2,6,530
0,Aina,Defender,Nottm Forest,4.5,0,0,2,5,593
0,Cook,Midfielder,Bournemouth,5,1,2,0,10,623
0,Digne,Defender,Aston Villa,4.6,0,2,1,8,518
0,Kulusevski,Midfielder,Spurs,6.2,1,1,2,7,527
0,L.Paqueta,Midfielder,West Ham,5.9,2,0,1,9,526
0,Mario Jr.,Midfielder,Wolves,5,1,1,0,21,629
0,Tavernier,Midfielder,Bournemouth,5.5,1,1,1,9,601
0,Vardy,Forward,Leicester,5.7,2,0,1,12,573
0,Andreas,Midfielder,Fulham,5.3,1,1,2,6,544
0,Eze,Midfielder,Crystal Palace,6.8,1,0,1,10,630
0,Gvardiol,Defender,Man City,5.9,1,0,1,7,582
0,Hinshelwood,Midfielder,Brighton,5,1,0,2,10,606
0,Ndidi,Midfielder,Leicester,5,0,4,1,10,613
0,Thomas,Midfielder,Arsenal,5,1,0,3,6,617
0,Trossard,Midfielder,Arsenal,6.9,2,1,1,5,344
0,Ait-Nouri,Defender,Wolves,4.4,2,2,0,20,564
0,Damsgaard,Midfielder,Brentford,5,0,2,1,8,462
0,Hudson-Odoi,Midfielder,Nottm Forest,5.4,1,1,2,4,480
0,Mateta,Forward,Crystal Palace,7.4,2,0,0,8,458
0,Milenkovic,Defender,Nottm Forest,4.5,0,1,2,5,540
0,Saliba,Defender,Arsenal,6,0,0,3,6,630
0,Szoboszlai,Midfielder,Liverpool,6.5,0,2,4,2,537
0,Tielemans,Midfielder,Aston Villa,5.5,0,2,1,9,623
0,Baleba,Midfielder,Brighton,5,1,1,1,8,421
0,Ederson M.,Goalkeeper,Man City,5.5,0,1,1,8,630
0,Guehi,Defender,Crystal Palace,4.4,1,0,1,10,630
0,Henderson,Goalkeeper,Crystal Palace,4.5,0,0,1,10,630
0,Hermansen,Goalkeeper,Leicester,4.5,0,0,1,12,630
0,Lewis,Defender,Man City,4.7,0,2,1,6,485
0,Minteh,Midfielder,Brighton,5.4,1,2,1,5,405
0,Murillo,Defender,Nottm Forest,4.5,0,0,2,6,630
0,Solanke,Forward,Spurs,7.6,2,1,1,6,447
0,Veltman,Defender,Brighton,4.5,0,0,2,6,521
0,Vicario,Goalkeeper,Spurs,5,0,0,2,8,630
0,White,Defender,Arsenal,6.3,0,0,3,2,405
0,Amad,Midfielder,Man Utd,5,1,1,3,1,340
0,Bellegarde,Midfielder,Wolves,5,1,1,2,9,402
0,Garnacho,Midfielder,Man Utd,6.3,1,1,2,7,409
0,Leno,Goalkeeper,Fulham,5,0,0,1,8,630
0,Martinez,Goalkeeper,Aston Villa,5,0,0,1,9,630
0,Rashford,Midfielder,Man Utd,6.9,1,0,3,6,480
0,Bruno G.,Midfielder,Newcastle,6.3,0,1,2,7,626
0,Flekken,Goalkeeper,Brentford,4.5,0,0,0,13,630
0,Isak,Forward,Newcastle,8.3,1,1,1,6,405
0,J.Timber,Defender,Arsenal,5.5,0,1,2,4,448
0,Joelinton,Midfielder,Newcastle,6,1,0,2,6,568
0,Joao Pedro,Forward,Brighton,5.5,2,0,1,2,280
0,Kudus,Midfielder,West Ham,6.3,1,0,1,11,577
0,Martinez,Defender,Man Utd,4.5,0,0,3,8,526
0,Muric,Goalkeeper,Ipswich,4.4,0,0,1,12,540
0,Savio,Midfielder,Man City,6.5,0,3,0,4,291
0,Van Hecke,Defender,Brighton,4.5,0,1,2,4,450
0,Burn,Defender,Newcastle,4.4,0,0,2,7,630
0,Carvalho,Midfielder,Brentford,4.8,1,1,0,7,239
0,Colwill,Defender,Chelsea,4.6,0,0,2,8,630
0,Davis,Defender,Ipswich,4.5,0,1,1,14,630
0,De Bruyne,Midfielder,Man City,9.4,1,1,1,3,356
0,Dibling,Midfielder,Southampton,4.6,1,0,1,10,368
0,Faes,Defender,Leicester,4.1,1,0,1,12,630
0,Gravenberch,Midfielder,Liverpool,5,0,0,5,2,630
