Id,Name,Team,Position,Price
2,G.Jesus,Arsenal,Forward,6.8
3,Gabriel,Arsenal,Defender,6.2
4,Havertz,Arsenal,Forward,8.3
6,J.Timber,Arsenal,Defender,5.5
7,Jorginho,Arsenal,Midfielder,4.8
8,Kiwior,Arsenal,Defender,4.8
9,Martinelli,Arsenal,Midfielder,7
12,Nwaneri,Arsenal,Midfielder,4.5
13,Odegaard,Arsenal,Midfielder,8.2
15,Raya,Arsenal,Goalkeeper,5.6
16,Rice,Arsenal,Midfielder,6.3
17,Saka,Arsenal,Midfielder,10.1
18,Saliba,Arsenal,Defender,6
20,Thomas,Arsenal,Midfielder,5
22,Tomiyasu,Arsenal,Defender,4.8
23,Trossard,Arsenal,Midfielder,6.9
24,White,Arsenal,Defender,6.3
25,Zinchenko,Arsenal,Defender,4.8
73,N.Neto,Arsenal,Goalkeeper,4.3
186,Sterling,Arsenal,Midfielder,6.7
578,Calafiori,Arsenal,Defender,5.8
633,Merino,Arsenal,Midfielder,6
28,Bailey,AstonVilla,Midfielder,6.3
29,Barkley,AstonVilla,Midfielder,5.2
31,Buendia,AstonVilla,Midfielder,5.3
32,Cash,AstonVilla,Defender,4.4
35,Diego Carlos,AstonVilla,Defender,4.5
36,Digne,AstonVilla,Defender,4.6
38,Duran,AstonVilla,Forward,6.2
44,Konsa,AstonVilla,Defender,4.5
45,Maatsen,AstonVilla,Defender,4.8
47,Martinez,AstonVilla,Goalkeeper,5
48,McGinn,AstonVilla,Midfielder,5.2
50,Nedeljkovic,AstonVilla,Defender,4
52,Pau,AstonVilla,Defender,4.5
53,Ramsey,AstonVilla,Midfielder,5.5
54,Rogers,AstonVilla,Midfielder,5.3
57,Tielemans,AstonVilla,Midfielder,5.5
58,Watkins,AstonVilla,Forward,9.1
233,Onana,AstonVilla,Midfielder,5.1
569,Jaden,AstonVilla,Midfielder,5.3
598,Bogarde,AstonVilla,Defender,4
656,Young,Everton,Defender,4.5
62,Brooks,Bournemouth,Midfielder,4.9
