Id,Name,Team,Position,Price,Week,Points,MinutesPlayed,Goals,Assists,xGoals,xAssists,CleanSheets,GoalsConceded,xGoalsConceded,Saves,BonusPoints,BonusPointRating,PointsInLastFive,MinutesInLastFive,GoalsInLastFive,xGoalsInLastFive,xAssistsInLastFive,CleanSheetsInLastFive,GoalsConcededInLastFive,xGoalsConcededInLastFive,SavesInLastFive,BonusPointsInLastFive,BonusPointsRatingInLastFive,Opponent,OpponentGoalsScored,OpponentGoalsConceded,OpponentGoalsScoredInLastFive,OpponentGoalsConcededInLastFive,ActualPoints
2,G.Jesus,Arsenal,Forward,6.8,6,1,18,0,0,0,0,0,1,0.97,0,0,5,1,18,0,0,0,0,1,0.97,0,0,5,Leicester,8,12,7,11,1
3,Gabriel,Arsenal,Defender,6.2,6,36,450,2,0,1,0.060000000000000005,3,3,6.48,0,4,119,36,450,0,1,0.060000000000000005,3,3,6.48,0,4,119,Leicester,8,12,7,11,1
4,Havertz,Arsenal,Forward,8.3,6,26,450,2,1,1.6300000000000003,0.12000000000000001,3,3,6.48,0,5,97,26,450,1,1.6300000000000003,0.12000000000000001,3,3,6.48,0,5,97,Leicester,8,12,7,11,6
6,J.Timber,Arsenal,Defender,5.5,6,15,358,0,0,0.07,0.05,2,2,5.24,0,0,52,15,358,0,0.07,0.05,2,2,5.24,0,0,52,Leicester,8,12,7,11,4
7,Jorginho,Arsenal,Midfielder,4.8,6,2,90,0,0,0,0,1,0,0.74,0,0,0,2,90,0,0,0,1,0,0.74,0,0,0,Leicester,8,12,7,11,0
8,Kiwior,Arsenal,Defender,4.8,6,1,16,0,0,0,0,0,1,0.99,0,0,-1,1,16,0,0,0,0,1,0.99,0,0,-1,Leicester,8,12,7,11,0
9,Martinelli,Arsenal,Midfielder,7,6,15,335,0,1,0.25,0.8,3,1,4.33,0,0,63,15,335,1,0.25,0.8,3,1,4.33,0,0,63,Leicester,8,12,7,11,13
12,Nwaneri,Arsenal,Midfielder,4.5,6,1,4,0,0,0,0,0,0,0.09,0,0,5,1,4,0,0,0,0,0,0.09,0,0,5,Leicester,8,12,7,11,1
13,Odegaard,Arsenal,Midfielder,8.2,6,7,253,0,0,0.46,0.7399999999999999,2,1,2.9299999999999997,0,0,29,7,253,0,0.46,0.7399999999999999,2,1,2.9299999999999997,0,0,29,Leicester,8,12,7,11,0
15,Raya,Arsenal,Goalkeeper,5.6,6,33,450,0,0,0,0.01,3,3,6.48,23,6,117,33,450,0,0,0.01,3,3,6.48,23,6,117,Leicester,8,12,7,11,1
16,Rice,Arsenal,Midfielder,6.3,6,4,312,0,0,0.19,0.2,2,3,3.8400000000000003,0,0,19,4,312,0,0.19,0.2,2,3,3.8400000000000003,0,0,19,Leicester,8,12,7,11,2
17,Saka,Arsenal,Midfielder,10.1,6,35,386,1,5,1.4,1.43,3,2,4.65,0,4,128,35,386,5,1.4,1.43,3,2,4.65,0,4,128,Leicester,8,12,7,11,3
18,Saliba,Arsenal,Defender,6,6,20,450,0,0,0,0.03,3,3,6.48,0,0,89,20,450,0,0,0.03,3,3,6.48,0,0,89,Leicester,8,12,7,11,0
20,Thomas,Arsenal,Midfielder,5,6,19,450,1,0,0.16,0.23,3,3,6.48,0,3,74,19,450,0,0.16,0.23,3,3,6.48,0,3,74,Leicester,8,12,7,11,2
22,Tomiyasu,Arsenal,Defender,4.8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Leicester,8,12,7,11,0
23,Trossard,Arsenal,Midfielder,6.9,6,10,224,1,0,0.34,0.13,1,3,2.45,0,1,41,10,224,0,0.34,0.13,1,3,2.45,0,1,41,Leicester,8,12,7,11,12
