Name,Week,FixtureIds,Points,MinutesPlayed,Goals,Assists,xGoals,xAssists,CleanSheets,GoalsConceded,xGoalsConceded,Saves,BonusPoints,BonusPointsRating
Fabio Vieira,1,2,0,0,0,0,0,0,0,0,0,0,0,0
Gabriel,1,2,1,4,0,0,0,0,0,0,0.02,0,0,2
Havertz,1,2,2,90,0,0,0.05,0.24,0,1,1.18,0,0,11
G.Jesus,1,2,0,0,0,0,0,0,0,0,0,0,0,0
Jorginho,1,2,0,0,0,0,0,0,0,0,0,0,0,0
Kiwior,1,2,0,0,0,0,0,0,0,0,0,0,0,0
Martinelli,1,2,5,85,0,1,0,0.22,0,1,1.16,0,0,23
Nketiah,1,2,8,72,1,0,0.21,0.01,1,0,0.3,0,2,26
Odegaard,1,2,2,90,0,0,0.11,0.09,0,1,1.18,0,0,11
Thomas,1,2,2,90,0,0,0,0.06,0,1,1.18,0,0,18
Ramsdale,1,2,2,90,0,0,0,0,0,1,1.18,1,0,10
Saka,1,2,10,90,1,0,0.19,0.17,0,1,1.18,0,3,37
Saliba,1,2,5,90,0,1,0,0.03,0,1,1.18,0,0,22
Smith Rowe,1,2,0,0,0,0,0,0,0,0,0,0,0,0
Tavares,1,2,0,0,0,0,0,0,0,0,0,0,0,0
Tomiyasu,1,2,1,40,0,0,0.03,0.02,0,1,0.9,0,0,9
Trossard,1,2,1,17,0,0,0,0.01,0,1,0.88,0,0,8
Turner,1,2,2,90,0,0,0,0,0,2,0.83,5,0,20
White,1,2,1,90,0,0,0,0.03,0,1,1.18,0,0,8
Zinchenko,1,2,0,0,0,0,0,0,0,0,0,0,0,0
Archer,1,6,0,0,0,0,0,0,0,0,0,0,0,0
Bailey,1,6,1,45,0,0,0,0.01,0,2,1.24,0,0,-1
Cash,1,6,-1,86,0,0,0.74,0,0,4,2.8,0,0,1
Coutinho,1,6,1,3,0,0,0.08,0.01,0,1,0.65,0,0,3
Diego Carlos,1,6,0,26,0,0,0.27,0,0,2,1.64,0,0,6
Digne,1,6,-1,90,0,0,0,0.15,0,5,3.44,0,0,13
Douglas Luiz,1,6,1,90,0,0,0.19,0.15,0,5,3.44,0,0,10
Duran,1,6,0,0,0,0,0,0,0,0,0,0,0,0
Kamara,1,6,2,90,0,0,0.03,0.02,0,5,3.44,0,0,10
Konsa,1,6,0,90,0,0,0,0.01,0,5,3.44,0,0,16
Martinez,1,6,1,90,0,0,0,0,0,5,3.44,7,0,18
McGinn,1,6,2,63,0,0,0,0.03,0,3,1.8,0,0,6
Mings,1,6,0,30,0,0,0.01,0.16,0,2,1.08,0,0,5
Nakamba,1,4,2,90,0,0,0.01,0.01,0,4,4.1,0,0,9
Olsen,1,6,0,0,0,0,0,0,0,0,0,0,0,0
Tielemans,1,6,1,45,0,0,0,0.09,0,3,2.2,0,0,3
Bertrand Traore,1,6,0,0,0,0,0,0,0,0,0,0,0,0
Watkins,1,6,5,90,0,1,0.23,0.1,0,5,3.44,0,0,18
Billing,1,3,2,90,0,0,0.07,0.06,0,1,1.07,0,0,13
Brooks,1,3,2,74,0,0,0.16,0.02,0,1,0.88,0,0,4
Christie,1,3,2,66,0,0,0.02,0.03,0,1,0.84,0,0,8
L.Cook,1,3,0,0,0,0,0,0,0,0,0,0,0,0
Kelly,1,3,0,0,0,0,0,0,0,0,0,0,0,0
Kluivert,1,3,1,30,0,0,0,0.01,0,0,0.23,0,0,2
Lowe,1,3,0,0,0,0,0,0,0,0,0,0,0,0
Mepham,1,3,0,30,0,0,0,0.01,0,0,0.23,0,0,2
Moore,1,3,1,23,0,0,0.04,0.05,0,0,0.23,0,0,2
N.Neto,1,3,2,90,0,0,0,0.01,0,1,1.07,1,0,11
Rothwell,1,3,2,90,0,0,0.03,0.04,0,1,1.07,0,0,13
Semenyo,1,3,4,15,0,1,0.07,0.01,0,0,0.19,0,0,11
Senesi,1,3,1,59,0,0,0,0.02,0,1,0.84,0,0,9
Solanke,1,3,7,90,1,0,0.98,0.14,0,1,1.07,0,1,22
Tavernier,1,3,0,0,0,0,0,0,0,0,0,0,0,0
Hamed Traorè,1,3,0,0,0,0,0,0,0,0,0,0,0,0
Zabarnyi,1,3,2,90,0,0,0,0.01,0,1,1.07,0,0,11
Ajer,1,8,1,83,0,0,0,0.01,0,2,1.14,0,0,7
Collins,1,8,1,90,0,0,0,0.01,0,2,1.26,0,0,16
Damsgaard,1,8,1,41,0,0,0.07,0.01,0,0,0.57,0,0,4
Dasilva,1,8,0,0,0,0,0,0,0,0,0,0,0,0
Flekken,1,8,2,90,0,0,0,0,0,2,1.26,4,0,17
Henry,1,8,4,90,0,1,0,0.74,0,2,1.26,0,0,20
Hickey,1,8,0,71,0,0,0.03,0.08,0,2,1.02,0,0,7
Janelt,1,8,2,90,0,0,0.02,0.01,0,2,1.26,0,0,6
Jensen,1,8,4,48,0,1,0,0.03,0,2,0.69,0,0,9
Lewis-Potter,1,8,0,0,0,0,0,0,0,0,0,0,0,0
Mbeumo,1,8,7,90,1,0,1.35,0.03,0,2,1.26,0,0,14
Mee,1,8,0,0,0,0,0,0,0,0,0,0,0,0
Norgaard,1,8,2,71,0,0,0,0.01,0,2,1.02,0,0,9
Onyeka,1,8,0,0,0,0,0,0,0,0,0,0,0,0
Pinnock,1,8,1,90,0,0,0,0,0,2,1.26,0,0,14
Raya,1,8,0,0,0,0,0,0,0,0,0,0,0,0
Schade,1,8,1,18,0,0,0.27,0,0,0,0.24,0,0,-1
Toney,1,8,0,0,0,0,0,0,0,0,0,0,0,0
Wissa,1,8,9,71,1,0,0.24,0.05,0,2,1.02,0,3,33
Adingra,1,4,6,16,1,0,0.25,0.01,0,1,1.04,0,0,20
Caicedo,1,4,0,0,0,0,0,0,0,0,0,0,0,0
Dahoud,1,4,3,73,0,0,0.04,0.11,1,0,0.41,0,0,12
Dunk,1,4,2,90,0,0,0.12,0.59,0,1,1.45,0,0,10
Enciso,1,4,1,2,0,0,0,0,0,0,0.25,0,0,2
Estupinan,1,4,7,90,0,1,0.11,0.86,0,1,1.45,0,3,34
Ferguson,1,4,5,12,1,0,0.89,0.03,0,1,1.04,0,0,25
Gilmour,1,4,1,16,0,0,0.02,0.05,0,1,1.04,0,0,4
Gross,1,4,2,90,0,0,0.49,0.47,0,1,1.45,0,0,18
Joao Pedro,1,4,7,87,1,0,1.3,0.03,0,1,1.2,0,1,26
Lallana,1,4,0,0,0,0,0,0,0,0,0,0,0,0
Lamptey,1,4,0,0,0,0,0,0,0,0,0,0,0,0
March,1,4,9,73,1,0,0.55,0.02,1,0,0.41,0,1,26
