Name,Week,Points,MinutesPlayed,Goals,Assists,xGoals,xAssists,CleanSheets,GoalsConceded,xGoalsConceded,Saves,BonusPoints,BonusPointsRating
Fabio Vieira,6,1,45,0,0,0,0,0,1,0.9,0,0,0
Gabriel,6,1,90,0,0,0.07,0.01,0,2,1.5,0,0,11
Havertz,6,0,45,0,0,0.06,0.01,0,1,0.6,0,0,-1
G.Jesus,6,2,76,0,0,0.5,0.01,0,2,1.31,0,0,1
Jorginho,6,1,45,0,0,0,0.01,0,1,0.6,0,0,-1
Kiwior,6,0,0,0,0,0,0,0,0,0,0,0,0
Martinelli,6,0,0,0,0,0,0,0,0,0,0,0,0
Nketiah,6,1,90,0,0,0.11,0,0,2,1.5,0,0,0
Odegaard,6,1,90,0,0,0.04,0.05,0,2,1.5,0,0,1
Thomas,6,0,0,0,0,0,0,0,0,0,0,0,0
Ramsdale,6,0,0,0,0,0,0,0,0,0,0,0,0
Saka,6,13,90,1,1,0.86,0.27,0,2,1.41,0,3,46
Saliba,6,1,90,0,0,0,0.01,0,2,1.5,0,0,11
Smith Rowe,6,1,1,0,0,0,0.01,0,0,0.08,0,0,5
Tavares,6,-1,38,0,0,0,0.01,0,2,0.72,0,0,0
Tomiyasu,6,0,0,0,0,0,0,0,0,0,0,0,0
Trossard,6,0,0,0,0,0,0,0,0,0,0,0,0
Turner,6,1,90,0,0,0,0,0,2,1.33,2,0,11
White,6,4,90,0,1,0.36,0.02,0,2,1.5,0,0,19
Zinchenko,6,1,90,0,0,0,0.06,0,2,1.5,0,0,14
Archer,6,2,90,0,0,0,0.02,0,8,3.94,0,0,3
Bailey,6,1,15,0,0,0,0.19,0,0,0.36,0,0,-2
Cash,6,6,90,0,0,0.06,0.01,1,0,1.35,0,0,26
Coutinho,6,0,0,0,0,0,0,0,0,0,0,0,0
Diego Carlos,6,0,0,0,0,0,0,0,0,0,0,0,0
Digne,6,5,90,0,0,0.01,0.03,1,0,1.35,0,0,17
Douglas Luiz,6,2,90,0,0,0.05,0.08,1,0,1.35,0,0,9
Duran,6,1,1,0,0,0,0,0,0,0.19,0,0,0
Kamara,6,3,89,0,0,0,0.05,1,0,1.16,0,0,20
Konsa,6,7,90,0,0,0.21,0,1,0,1.35,0,1,29
Martinez,6,6,90,0,0,0,0,1,0,1.35,4,0,27
McGinn,6,3,74,0,0,0,0.02,1,0,0.99,0,0,7
Mings,6,0,0,0,0,0,0,0,0,0,0,0,0
Nakamba,6,2,90,0,0,0.08,0.05,0,1,0.59,0,0,14
Olsen,6,0,0,0,0,0,0,0,0,0,0,0,0
Tielemans,6,1,9,0,0,0,0.01,0,0,0.19,0,0,3
Bertrand Traore,6,0,0,0,0,0,0,0,0,0,0,0,0
Watkins,6,9,90,1,0,0.2,0.14,1,0,1.16,0,3,37
Billing,6,2,81,0,0,0.04,0.01,0,3,1.75,0,0,3
Brooks,6,0,8,0,0,0.41,0.05,0,0,0.12,0,0,-2
Christie,6,5,81,0,1,0.07,0.02,0,3,1.75,0,0,19
L.Cook,6,2,90,0,0,0,0.08,0,3,1.87,0,0,16
Kelly,6,1,82,0,0,0,0.04,0,3,1.75,0,0,19
Kluivert,6,2,63,0,0,0,0.02,0,2,1.17,0,0,8
Lowe,6,0,0,0,0,0,0,0,0,0,0,0,0
Mepham,6,0,0,0,0,0,0,0,0,0,0,0,0
Moore,6,0,0,0,0,0,0,0,0,0,0,0,0
N.Neto,6,1,90,0,0,0,0,0,3,1.87,2,0,12
Rothwell,6,0,0,0,0,0,0,0,0,0,0,0,0
Semenyo,6,1,26,0,0,0.09,0,0,1,0.7,0,0,-1
Senesi,6,0,7,0,0,0,0.01,0,0,0.12,0,0,-2
Solanke,6,6,90,1,0,0.6,0.01,0,3,1.87,0,0,20
Tavernier,6,2,62,0,0,0,0.08,0,2,1.17,0,0,11
Hamed Traorè,6,1,8,0,0,0.02,0,0,0,0.12,0,0,3
Zabarnyi,6,0,90,0,0,0.07,0,0,3,1.87,0,0,10
Ajer,6,0,29,0,0,0.05,0.67,0,2,0.94,0,0,10
Collins,6,1,90,0,0,0,0.01,0,3,1.84,0,0,15
Damsgaard,6,0,0,0,0,0,0,0,0,0,0,0,0
Dasilva,6,0,0,0,0,0,0,0,0,0,0,0,0
Flekken,6,2,90,0,0,0,0,0,3,1.84,3,0,18
Henry,6,0,0,0,0,0,0,0,0,0,0,0,0
Hickey,6,1,72,0,0,0.05,0,0,3,1.81,0,0,6
Janelt,6,5,61,0,1,0.02,0.03,0,1,0.91,0,0,21
Jensen,6,9,90,1,0,0.12,0.01,0,3,1.84,0,2,29
Lewis-Potter,6,2,88,0,0,0.23,0.07,0,3,1.84,0,0,0
Mbeumo,6,1,90,0,0,0.16,0.18,0,3,1.84,0,0,5
Mee,6,0,0,0,0,0,0,0,0,0,0,0,0
Norgaard,6,2,90,0,0,0.13,0.02,0,3,1.84,0,0,19
Onyeka,6,1,28,0,0,0,0,0,2,0.94,0,0,4
Pinnock,6,1,90,0,0,0.22,0,0,3,1.84,0,0,13
Raya,6,2,90,0,0,0,0,0,2,1.5,3,0,15
Schade,6,0,0,0,0,0,0,0,0,0,0,0,0
Toney,6,0,0,0,0,0,0,0,0,0,0,0,0
Wissa,6,2,90,0,0,0.05,0.02,0,3,1.84,0,0,8
Adingra,6,2,87,0,0,0,0.11,0,1,1.27,0,0,8
Caicedo,6,2,78,0,0,0.03,0.01,0,1,0.63,0,0,14
Dahoud,6,5,73,0,1,0.07,0.16,0,1,0.58,0,0,21
Dunk,6,1,90,0,0,0.28,0.01,0,1,1.37,0,0,12
Enciso,6,0,0,0,0,0,0,0,0,0,0,0,0
Estupinan,6,6,90,0,1,0.02,0.33,0,1,1.37,0,1,25
Ferguson,6,1,45,0,0,0.02,0.33,0,1,0.45,0,0,3
Gilmour,6,6,90,0,1,0.01,0.14,0,1,1.37,0,2,26
Gross,6,0,0,0,0,0,0,0,0,0,0,0,0
Joao Pedro,6,1,27,0,0,0.08,0.22,0,0,0.85,0,0,6
Lallana,6,0,0,0,0,0,0,0,0,0,0,0,0
Lamptey,6,1,3,0,0,0,0,0,0,0.11,0,0,2
March,6,0,0,0,0,0,0,0,0,0,0,0,0
Milner,6,0,0,0,0,0,0,0,0,0,0,0,0
Mitoma,6,14,45,2,0,0.72,0.02,0,0,0.92,0,3,42
Sanchez,6,4,90,0,0,0,0,0,1,1.04,6,0,21
Steele,6,0,0,0,0,0,0,0,0,0,0,0,0
Van Hecke,6,0,0,0,0,0,0,0,0,0,0,0,0
Veltman,6,1,90,0,0,0,0.01,0,1,1.37,0,0,11
Verbruggen,6,2,90,0,0,0,0,0,1,1.37,2,0,8
Webster,6,2,90,0,0,0.1,0.01,0,1,1.37,0,0,16
Welbeck,6,2,62,0,0,0,0.01,0,1,0.52,0,0,5
Al-Dakhil,6,2,90,0,0,0,0.28,0,1,0.91,0,0,15
Benson,6,1,4,0,0,0.03,0.01,0,0,0.16,0,0,4
Beyer,6,1,90,0,0,0,0.01,0,1,0.91,0,0,12
Brownhill,6,2,85,0,0,0.1,0.21,0,1,0.75,0,0,17
Cork,6,0,0,0,0,0,0,0,0,0,0,0,0
Cullen,6,2,90,0,0,0,0.19,0,1,0.91,0,0,15
Foster,6,0,0,0,0,0,0,0,0,0,0,0,0
Gudmundsson,6,1,19,0,0,0,0.01,0,0,0.16,0,0,3
O'Shea,6,0,0,0,0,0,0,0,0,0,0,0,0
Roberts,6,2,90,0,0,0,0.03,0,1,0.91,0,0,12
Rodriguez,6,1,17,0,0,0.08,0,0,0,0.42,0,0,2
Taylor,6,2,90,0,0,0,0.02,0,1,0.91,0,0,13
Vitinho,6,0,0,0,0,0,0,0,0,0,0,0,0
Chalobah,6,0,0,0,0,0,0,0,0,0,0,0,0
Chilwell,6,0,29,0,0,0.15,0.01,0,1,0.83,0,0,1
Chukwuemeka,6,0,0,0,0,0,0,0,0,0,0,0,0
Colwill,6,2,90,0,0,0,0,0,1,1.04,0,0,18
Cucurella,6,0,0,0,0,0,0,0,0,0,0,0,0
Enzo,6,3,67,0,0,0.21,0.01,1,0,0.32,0,0,6
W.Fofana,6,0,0,0,0,0,0,0,0,0,0,0,0
