Name,Week,FixtureIds,Points,MinutesPlayed,Goals,Assists,xGoals,xAssists,CleanSheets,GoalsConceded,xGoalsConceded,Saves,BonusPoints,BonusPointsRating
Fabio Vieira,7,62,1,14,0,0,0,0.03,0,0,0,0,0,2
Gabriel,7,62,6,90,0,0,0,0,1,0,0.69,0,0,25
Havertz,7,62,7,80,1,0,0.82,0.02,1,0,0.69,0,0,18
G.Jesus,7,62,5,90,0,1,0.11,0.19,1,0,0.69,0,0,20
Jorginho,7,62,1,9,0,0,0,0.01,0,0,0,0,0,3
Kiwior,7,62,0,0,0,0,0,0,0,0,0,0,0,0
Martinelli,7,62,0,0,0,0,0,0,0,0,0,0,0,0
Nketiah,7,62,5,68,0,1,0.12,0.08,1,0,0.34,0,0,16
Odegaard,7,62,17,90,1,2,0.79,0.38,1,0,0.69,0,3,56
Thomas,7,62,0,0,0,0,0,0,0,0,0,0,0,0
Ramsdale,7,62,0,0,0,0,0,0,0,0,0,0,0,0
Saka,7,62,9,75,1,0,0.96,0.45,1,0,0.69,0,1,29
Saliba,7,62,6,90,0,0,0,0,1,0,0.69,0,0,25
Smith Rowe,7,62,1,9,0,0,0.46,0,0,0,0,0,0,-1
Tavares,7,67,0,0,0,0,0,0,0,0,0,0,0,0
Tomiyasu,7,62,1,21,0,0,0,0,0,0,0.35,0,0,3
Trossard,7,62,0,0,0,0,0,0,0,0,0,0,0,0
Turner,7,67,3,90,0,0,0,0,0,1,1.7,3,0,14
White,7,62,14,90,1,0,0.12,0.01,1,0,0.69,0,2,40
Zinchenko,7,62,6,68,0,0,0.12,0.1,1,0,0.34,0,0,28
Archer,7,69,2,78,0,0,0.16,0.04,0,2,1.67,0,0,6
Bailey,7,61,0,0,0,0,0,0,0,0,0,0,0,0
Cash,7,61,6,90,0,1,0,0.48,0,1,1.71,0,1,26
Coutinho,7,61,0,0,0,0,0,0,0,0,0,0,0,0
Diego Carlos,7,61,0,0,0,0,0,0,0,0,0,0,0,0
Digne,7,61,1,90,0,0,0.08,0.06,0,1,1.71,0,0,6
Douglas Luiz,7,61,8,90,1,0,0.14,0.19,0,1,1.71,0,2,27
Duran,7,61,0,11,0,0,0,0,0,0,0.1,0,0,-1
Kamara,7,61,2,89,0,0,0,0.01,0,1,1.71,0,0,11
Konsa,7,61,1,90,0,0,0,0,0,1,1.71,0,0,10
Martinez,7,61,2,90,0,0,0,0,0,1,1.71,2,0,10
McGinn,7,61,5,90,0,1,0.04,0.28,0,1,1.71,0,0,19
Mings,7,61,0,0,0,0,0,0,0,0,0,0,0,0
Nakamba,7,63;15,3,180,0,0,0.04,0.05,0,3,3.94,0,0,22
Olsen,7,61,0,0,0,0,0,0,0,0,0,0,0,0
Tielemans,7,61,1,1,0,0,0,0,0,0,0,0,0,3
Bertrand Traore,7,61,0,0,0,0,0,0,0,0,0,0,0,0
Watkins,7,61,23,90,3,2,0.81,0.17,0,1,1.71,0,3,102
Billing,7,62,2,74,0,0,0.16,0.01,0,3,2.8,0,0,6
Brooks,7,62,0,0,0,0,0,0,0,0,0,0,0,0
Christie,7,62,2,82,0,0,0.11,0.07,0,3,2.89,0,0,3
L.Cook,7,62,2,90,0,0,0,0.03,0,4,3.47,0,0,12
Kelly,7,62,0,0,0,0,0,0,0,0,0,0,0,0
Kluivert,7,62,1,58,0,0,0,0.03,0,3,2.71,0,0,2
Lowe,7,62,0,0,0,0,0,0,0,0,0,0,0,0
