Id,Name,Team,Position,Price,Week,Points,MinutesPlayed,Goals,Assists,xGoals,xAssists,CleanSheets,GoalsConceded,xGoalsConceded,Saves,BonusPoints,BonusPointRating,PointsInLastFive,MinutesInLastFive,GoalsInLastFive,xGoalsInLastFive,xAssistsInLastFive,CleanSheetsInLastFive,GoalsConcededInLastFive,xGoalsConcededInLastFive,SavesInLastFive,BonusPointsInLastFive,BonusPointsRatingInLastFive,Opponent,OpponentGoalsScored,OpponentGoalsConceded,OpponentGoalsScoredInLastFive,OpponentGoalsConcededInLastFive
4,Fabio Vieira,Arsenal,Midfielder,5.4,34,23,282,1,3,1.2,0.5900000000000001,1,2,1.83,0,0,67,1,1,0,0,0.01,0,0,0.15,0,0,2,Wolves,46,51,6,8
4,Fabio Vieira,Arsenal,Midfielder,5.4,34,23,282,1,3,1.2,0.5900000000000001,1,2,1.83,0,0,67,1,1,0,0,0.01,0,0,0.15,0,0,2,Chelsea,61,52,17,9
5,Gabriel,Arsenal,Defender,4.7,34,121,2534,3,1,4.08,0.5700000000000001,12,23,20.59,0,6,547,18,360,0,0.69,0.03,3,2,2.88,0,0,72,Wolves,46,51,6,8
5,Gabriel,Arsenal,Defender,4.7,34,121,2534,3,1,4.08,0.5700000000000001,12,23,20.59,0,6,547,18,360,0,0.69,0.03,3,2,2.88,0,0,72,Chelsea,61,52,17,9
6,Havertz,Arsenal,Midfielder,7.2,34,133,2106,9,7,9.11,2.6900000000000004,12,19,15.399999999999999,0,11,369,23,333,2,1.2,0.9099999999999999,3,2,2.56,0,3,55,Wolves,46,51,6,8
6,Havertz,Arsenal,Midfielder,7.2,34,133,2106,9,7,9.11,2.6900000000000004,12,19,15.399999999999999,0,11,369,23,333,2,1.2,0.9099999999999999,3,2,2.56,0,3,55,Chelsea,61,52,17,9
8,G.Jesus,Arsenal,Forward,7.9,34,73,1349,4,5,6.16,3.0399999999999996,10,11,11.509999999999998,0,10,230,8,212,1,0.81,0.8999999999999999,3,0,1.4899999999999998,0,0,19,Wolves,46,51,6,8
8,G.Jesus,Arsenal,Forward,7.9,34,73,1349,4,5,6.16,3.0399999999999996,10,11,11.509999999999998,0,10,230,8,212,1,0.81,0.8999999999999999,3,0,1.4899999999999998,0,0,19,Chelsea,61,52,17,9
9,Jorginho,Arsenal,Midfielder,5.4,34,42,894,0,2,0.09999999999999999,1.7500000000000002,4,11,8.4,0,1,175,12,171,1,0,0.5900000000000001,2,2,2.14,0,1,39,Wolves,46,51,6,8
9,Jorginho,Arsenal,Midfielder,5.4,34,42,894,0,2,0.09999999999999999,1.7500000000000002,4,11,8.4,0,1,175,12,171,1,0,0.5900000000000001,2,2,2.14,0,1,39,Chelsea,61,52,17,9
