Name,Week,FixtureIds,Points,MinutesPlayed,Goals,Assists,xGoals,xAssists,CleanSheets,GoalsConceded,xGoalsConceded,Saves,BonusPoints,BonusPointsRating
Fabio Vieira,18,174,0,0,0,0,0,0,0,0,0,0,0,0
Gabriel,18,174,10,90,1,0,0.12,0,0,1,0.95,0,2,25
Havertz,18,174,1,90,0,0,0.02,0.02,0,1,0.95,0,0,2
G.Jesus,18,174,2,77,0,0,0.33,0.15,0,1,0.95,0,0,1
Jorginho,18,174,0,0,0,0,0,0,0,0,0,0,0,0
Kiwior,18,174,0,0,0,0,0,0,0,0,0,0,0,0
Martinelli,18,174,2,67,0,0,0.14,0.03,0,1,0.44,0,0,3
Nketiah,18,174,0,12,0,0,0,0,0,0,0,0,0,-2
Odegaard,18,174,8,90,0,1,0.06,0.16,0,1,0.95,0,3,26
Thomas,18,174,0,0,0,0,0,0,0,0,0,0,0,0
Ramsdale,18,174,0,0,0,0,0,0,0,0,0,0,0,0
Saka,18,174,1,90,0,0,0.04,0.08,0,1,0.95,0,0,3
Saliba,18,174,2,90,0,0,0,0,0,1,0.95,0,0,15
Smith Rowe,18,174,0,0,0,0,0,0,0,0,0,0,0,0
Tavares,18,177,0,0,0,0,0,0,0,0,0,0,0,0
Tomiyasu,18,174,0,0,0,0,0,0,0,0,0,0,0,0
Trossard,18,174,1,22,0,0,0,0.03,0,0,0.51,0,0,0
Turner,18,177,2,90,0,0,0,0,0,3,1.57,3,0,17
White,18,174,1,90,0,0,0,0.01,0,1,0.95,0,0,12
Zinchenko,18,174,2,90,0,0,0.07,0.03,0,1,0.95,0,0,12
Archer,18,171,8,89,1,0,0.5,0,1,0,0.71,0,2,25
Bailey,18,171,2,80,0,0,0.01,0.1,1,0,0.02,0,0,-3
Cash,18,171,1,90,0,0,0.01,0.28,0,1,0.56,0,0,15
Coutinho,18,171,0,0,0,0,0,0,0,0,0,0,0,0
Diego Carlos,18,171,0,0,0,0,0,0,0,0,0,0,0,0
Digne,18,171,6,73,0,0,0.01,0.02,1,0,0,0,0,21
Douglas Luiz,18,171,8,90,0,1,0.04,0.21,0,1,0.56,0,3,26
Duran,18,171,1,16,0,0,0,0.04,0,1,0.56,0,0,1
Kamara,18,171,0,0,0,0,0,0,0,0,0,0,0,0
Konsa,18,171,2,90,0,0,0.19,0.03,0,1,0.56,0,0,12
Martinez,18,171,2,90,0,0,0,0,0,1,0.56,1,0,10
McGinn,18,171,2,90,0,0,0,0.33,0,1,0.56,0,0,11
Mings,18,171,0,0,0,0,0,0,0,0,0,0,0,0
Nakamba,18,175,0,0,0,0,0,0,0,0,0,0,0,0
Olsen,18,171,0,0,0,0,0,0,0,0,0,0,0,0
Tielemans,18,171,0,0,0,0,0,0,0,0,0,0,0,0
Bertrand Traore,18,171,0,0,0,0,0,0,0,0,0,0,0,0
Watkins,18,171,2,90,0,0,0.18,0.1,0,1,0.56,0,0,2
Billing,18,177,5,80,0,1,0.07,0.01,0,2,0.71,0,0,11
Brooks,18,177,1,9,0,0,0.27,0,0,0,0.04,0,0,-2
Christie,18,177,1,90,0,0,0,0.08,0,2,0.75,0,0,8
L.Cook,18,177,1,28,0,0,0,0.19,0,0,0.27,0,0,4
Kelly,18,177,0,0,0,0,0,0,0,0,0,0,0,0
