Name,Team,Position,Goals,Assists,Clean Sheets,Goals Conceded
Haaland,Forward,Man City,10,1,3,6
Toney,Forward,Brentford,5,2,1,9
Groß,Midfielder,Brighton,3,2,3,5
Kane,Forward,Spurs,5,1,3,4
Rashford,Midfielder,Man Utd,3,2,2,8
Mac Allister,Midfielder,Brighton,4,0,3,5
Mitrović,Forward,Fulham,6,0,1,9
Rodrigo,Midfielder,Leeds,4,1,1,5
Salah,Midfielder,Liverpool,2,3,2,6
Martinelli,Midfielder,Arsenal,3,1,2,7
Pope,Goalkeeper,Newcastle,0,0,3,6
De Bruyne,Midfielder,Man City,1,4,2,6
Firmino,Forward,Liverpool,3,3,1,4
Sá,Goalkeeper,Wolves,0,0,3,4
Sterling,Midfielder,Chelsea,3,1,1,8
Ødegaard,Midfielder,Arsenal,3,0,2,6
Bernardo,Midfielder,Man City,2,2,2,5
Cancelo,Defender,Man City,1,1,3,6
Jesus,Forward,Arsenal,3,3,2,7
Luis Díaz,Midfielder,Liverpool,3,0,2,6
Trossard,Midfielder,Brighton,2,2,3,5
Henderson,Goalkeeper,Nottm Forest,0,0,1,14
Zaha,Midfielder,Crystal Palace,4,0,1,5
Gündogan,Midfielder,Man City,2,1,3,4
Trippier,Defender,Newcastle,1,0,3,6
Harrison,Midfielder,Leeds,1,3,1,7
Saliba,Defender,Arsenal,1,1,2,7
Collins,Defender,Wolves,0,0,3,4
Højbjerg,Midfielder,Spurs,2,0,2,5
Saka,Midfielder,Arsenal,1,3,2,7
Sancho,Midfielder,Man Utd,2,0,3,7
Sánchez,Goalkeeper,Brighton,0,0,3,5
Gabriel,Defender,Arsenal,1,0,2,7
Kilman,Defender,Wolves,0,0,3,4
Kulusevski,Midfielder,Spurs,1,2,2,5
Saint-Maximin,Midfielder,Newcastle,1,3,2,4
Schär,Defender,Newcastle,1,0,3,4
Dier,Defender,Spurs,1,0,2,5
Emerson Royal,Defender,Spurs,0,2,2,5
Podence,Midfielder,Wolves,2,0,2,3
Veltman,Defender,Brighton,0,0,3,5
Xhaka,Midfielder,Arsenal,1,2,2,7
Jensen,Midfielder,Brentford,1,2,1,8
Lloris,Goalkeeper,Spurs,0,0,2,5
Perišić,Defender,Spurs,0,2,2,1
Pickford,Goalkeeper,Everton,0,1,1,6
Alexander-Arnold,Defender,Liverpool,1,1,1,6
Foden,Midfielder,Man City,1,3,1,6
Watkins,Forward,Aston Villa,1,2,0,9
Andreas,Midfielder,Fulham,0,2,1,7
Dalot,Defender,Man Utd,0,1,2,8
Ederson,Goalkeeper,Man City,0,0,3,6
James,Defender,Chelsea,1,1,1,7
Kelly,Defender,Bournemouth,0,2,2,9
Raya,Goalkeeper,Brentford,0,0,1,9
Van Dijk,Defender,Liverpool,1,0,2,6
Ward-Prowse,Midfielder,Southampton,1,1,0,10
White,Defender,Arsenal,0,0,3,6
Chilwell,Defender,Chelsea,1,2,1,0
Dias,Defender,Man City,0,0,3,6
Dunk,Defender,Brighton,0,0,3,5
Eze,Midfielder,Crystal Palace,0,2,2,8
Fernandes,Midfielder,Man Utd,1,1,2,8
Gordon,Midfielder,Everton,2,0,1,6
Jonny,Defender,Wolves,0,0,3,4
Maddison,Midfielder,Leicester,2,1,0,14
Martínez,Goalkeeper,Aston Villa,0,0,0,10
Mbeumo,Forward,Brentford,2,0,1,9
Neves,Midfielder,Wolves,1,0,3,4
Walker,Defender,Man City,0,0,3,6
Welbeck,Forward,Brighton,0,3,3,3
Wissa,Midfielder,Brentford,2,1,0,5
De Gea,Goalkeeper,Man Utd,0,0,2,8
Fornals,Midfielder,West Ham,1,0,1,6
Johnson,Forward,Nottm Forest,2,0,1,11
