Name,Team,Position,Price,Points,Goals,Assists,Clean Sheets,Goals Conceded
Haaland,Forward,Man City,12.0,67,10,1,3,6
Toney,Forward,Brentford,7.2,45,5,2,1,9
Grob,Midfielder,Brighton,6.0,42,3,2,3,5
Kane,Forward,Spurs,11.4,40,5,1,3,4
Rashford,Midfielder,Man Utd,6.6,40,3,2,2,8
Mac Allister,Midfielder,Brighton,5.6,39,4,0,3,5
Mitrovic,Forward,Fulham,6.9,39,6,0,1,9
Rodrigo,Midfielder,Leeds,6.3,38,4,1,1,5
Salah,Midfielder,Liverpool,12.9,38,2,3,2,6
Martinelli,Midfielder,Arsenal,6.5,36,3,1,2,7
Pope,Goalkeeper,Newcastle,5.1,36,0,0,3,6
De Bruyne,Midfielder,Man City,12.2,35,1,4,2,6
Firmino,Forward,Liverpool,8.0,35,3,3,1,4
Sa,Goalkeeper,Wolves,5.0,35,0,0,3,4
Sterling,Midfielder,Chelsea,10.0,34,3,1,1,8
Odegaard,Midfielder,Arsenal,6.5,34,3,0,2,6
Bernardo,Midfielder,Man City,7.0,33,2,2,2,5
Cancelo,Defender,Man City,7.1,33,1,1,3,6
Jesus,Forward,Arsenal,8.1,33,3,3,2,7
Luis Diaz,Midfielder,Liverpool,8.2,32,3,0,2,6
Trossard,Midfielder,Brighton,6.5,32,2,2,3,5
Henderson,Goalkeeper,Nottm Forest,4.7,31,0,0,1,14
Zaha,Midfielder,Crystal Palace,7.2,31,4,0,1,5
Gundogan,Midfielder,Man City,7.6,30,2,1,3,4
Trippier,Defender,Newcastle,5.2,30,1,0,3,6
Harrison,Midfielder,Leeds,6.2,29,1,3,1,7
Saliba,Defender,Arsenal,4.8,29,1,1,2,7
Collins,Defender,Wolves,4.5,28,0,0,3,4
Hojbjerg,Midfielder,Spurs,5.5,28,2,0,2,5
Saka,Midfielder,Arsenal,7.8,28,1,3,2,7
Sancho,Midfielder,Man Utd,7.3,28,2,0,3,7
Sanchez,Goalkeeper,Brighton,4.7,28,0,0,3,5
Gabriel,Defender,Arsenal,5.1,27,1,0,2,7
Kilman,Defender,Wolves,4.5,27,0,0,3,4
Kulusevski,Midfielder,Spurs,8.1,27,1,2,2,5
Saint-Maximin,Midfielder,Newcastle,6.4,27,1,3,2,4
Schar,Defender,Newcastle,4.7,27,1,0,3,4
Dier,Defender,Spurs,5.0,26,1,0,2,5
Emerson Royal,Defender,Spurs,5.1,26,0,2,2,5
Podence,Midfielder,Wolves,5.5,26,2,0,2,3
Veltman,Defender,Brighton,4.6,26,0,0,3,5
Xhaka,Midfielder,Arsenal,5.0,26,1,2,2,7
Jensen,Midfielder,Brentford,5.1,25,1,2,1,8
Lloris,Goalkeeper,Spurs,5.5,25,0,0,2,5
Perisic,Defender,Spurs,5.6,25,0,2,2,1
Pickford,Goalkeeper,Everton,4.5,25,0,1,1,6
Alexander-Arnold,Defender,Liverpool,7.5,24,1,1,1,6
Foden,Midfielder,Man City,8.0,24,1,3,1,6
Watkins,Forward,Aston Villa,7.3,24,1,2,0,9
Andreas,Midfielder,Fulham,4.6,23,0,2,1,7
Dalot,Defender,Man Utd,4.5,23,0,1,2,8
Ederson,Goalkeeper,Man City,5.5,23,0,0,3,6
James,Defender,Chelsea,6.0,23,1,1,1,7
Kelly,Defender,Bournemouth,4.5,23,0,2,2,9
Raya,Goalkeeper,Brentford,4.5,23,0,0,1,9
Van Dijk,Defender,Liverpool,6.5,23,1,0,2,6
Ward-Prowse,Midfielder,Southampton,6.5,23,1,1,0,10
